uf,ano,faixa_etaria,numero_dose,reforco,imunizante,doenca,meta,meta_atingida,populacao,qt_dose,homog_geo,cobertura,abandono,ultima_dose
RR,2004,0,1,0,Meningocócica Conjugada - C,,95,0,9855,7,0.0,0.0710299,,0
PA,2004,0,1,0,Meningocócica Conjugada - C,,95,0,157734,195,0.0,0.123626,,0
AP,2004,0,1,0,Meningocócica Conjugada - C,,95,0,16259,1,0.0,0.00615044,,0
TO,2004,0,1,0,Meningocócica Conjugada - C,,95,0,26674,2,0.0,0.00749794,,0
CE,2004,0,1,0,Meningocócica Conjugada - C,,95,0,146703,2,0.0,0.0013633,,0
RN,2004,0,1,0,Meningocócica Conjugada - C,,95,0,53584,39,0.0,0.0727829,,0
PE,2004,0,1,0,Meningocócica Conjugada - C,,95,0,157075,3,0.0,0.00190992,,0
SE,2004,0,1,0,Meningocócica Conjugada - C,,95,0,37051,9,0.0,0.0242908,,0
BA,2004,0,1,0,Meningocócica Conjugada - C,,95,0,253493,1,0.0,0.000394488,,0
MG,2004,0,1,0,Meningocócica Conjugada - C,,95,0,301434,894,0.0,0.296582,,0
ES,2004,0,1,0,Meningocócica Conjugada - C,,95,0,57569,13,0.0,0.0225816,,0
RJ,2004,0,1,0,Meningocócica Conjugada - C,,95,0,231787,812,0.0,0.350322,,0
SP,2004,0,1,0,Meningocócica Conjugada - C,,95,0,631515,13358,0.0,2.11523,,0
PR,2004,0,1,0,Meningocócica Conjugada - C,,95,0,167234,86,0.0,0.051425,,0
SC,2004,0,1,0,Meningocócica Conjugada - C,,95,0,89285,282,0.0,0.315843,,0
RS,2004,0,1,0,Meningocócica Conjugada - C,,95,0,157321,69,0.0,0.0438594,,0
MS,2004,0,1,0,Meningocócica Conjugada - C,,95,0,41593,91,0.0,0.218787,,0
MT,2004,0,1,0,Meningocócica Conjugada - C,,95,0,51863,6,0.0,0.0115689,,0
GO,2004,0,1,0,Meningocócica Conjugada - C,,95,0,96695,84,0.0,0.0868711,,0
DF,2004,0,1,0,Meningocócica Conjugada - C,,95,0,42453,271,0.0,0.638353,,0
RO,2004,0,1,0,Oral Poliomielite,,95,1,30104,30044,82.6923,99.8007,,0
AC,2004,0,1,0,Oral Poliomielite,,95,1,17065,22003,72.7273,128.936,,0
AM,2004,0,1,0,Oral Poliomielite,,95,0,78316,67980,54.8387,86.8022,,0
RR,2004,0,1,0,Oral Poliomielite,,95,1,9855,10047,40.0,101.948,,0
PA,2004,0,1,0,Oral Poliomielite,,95,1,157734,168869,79.021,107.059,,0
AP,2004,0,1,0,Oral Poliomielite,,95,1,16259,18572,100.0,114.226,,0
TO,2004,0,1,0,Oral Poliomielite,,95,1,26674,26372,74.1007,98.8678,,0
MA,2004,0,1,0,Oral Poliomielite,,95,1,133203,152892,83.4101,114.781,,0
PI,2004,0,1,0,Oral Poliomielite,,95,1,58490,59355,81.0811,101.479,,0
CE,2004,0,1,0,Oral Poliomielite,,95,1,146703,148149,89.6739,100.986,,0
RN,2004,0,1,0,Oral Poliomielite,,95,1,53584,54602,69.4611,101.9,,0
PB,2004,0,1,0,Oral Poliomielite,,95,1,65629,66724,71.7489,101.668,,0
PE,2004,0,1,0,Oral Poliomielite,,95,1,157075,165179,81.6216,105.159,,0
AL,2004,0,1,0,Oral Poliomielite,,95,1,64555,65965,84.3137,102.184,,0
SE,2004,0,1,0,Oral Poliomielite,,95,1,37051,39589,72.0,106.85,,0
BA,2004,0,1,0,Oral Poliomielite,,95,1,253493,266808,86.0911,105.253,,0
MG,2004,0,1,0,Oral Poliomielite,,95,1,301434,290733,81.1254,96.45,,0
ES,2004,0,1,0,Oral Poliomielite,,95,1,57569,62427,89.7436,108.439,,0
RJ,2004,0,1,0,Oral Poliomielite,,95,1,231787,248370,63.0435,107.154,,0
SP,2004,0,1,0,Oral Poliomielite,,95,1,631515,627548,81.5504,99.3718,,0
PR,2004,0,1,0,Oral Poliomielite,,95,0,167234,155719,65.6642,93.1144,,0
SC,2004,0,1,0,Oral Poliomielite,,95,1,89285,85110,76.4505,95.324,,0
RS,2004,0,1,0,Oral Poliomielite,,95,0,157321,142232,63.3064,90.4088,,0
MS,2004,0,1,0,Oral Poliomielite,,95,1,41593,43281,85.7143,104.058,,0
MT,2004,0,1,0,Oral Poliomielite,,95,1,51863,57464,82.0144,110.8,,0
GO,2004,0,1,0,Oral Poliomielite,,95,1,96695,98188,73.5772,101.544,,0
DF,2004,0,1,0,Oral Poliomielite,,95,1,42453,44894,100.0,105.75,,0
RO,2004,0,1,0,Pentavalente,,95,0,30104,2,0.0,0.00664364,,0
AC,2004,0,1,0,Pentavalente,,95,0,17065,76,0.0,0.445356,,0
AM,2004,0,1,0,Pentavalente,,95,0,78316,58,0.0,0.0740589,,0
PA,2004,0,1,0,Pentavalente,,95,0,157734,44,0.0,0.0278951,,0
TO,2004,0,1,0,Pentavalente,,95,0,26674,3,0.0,0.0112469,,0
PI,2004,0,1,0,Pentavalente,,95,0,58490,12,0.0,0.0205163,,0
RN,2004,0,1,0,Pentavalente,,95,0,53584,15,0.0,0.0279934,,0
SE,2004,0,1,0,Pentavalente,,95,0,37051,1,0.0,0.00269898,,0
MG,2004,0,1,0,Pentavalente,,95,0,301434,404,0.0,0.134026,,0
ES,2004,0,1,0,Pentavalente,,95,0,57569,3,0.0,0.00521114,,0
RJ,2004,0,1,0,Pentavalente,,95,0,231787,64,0.0,0.0276116,,0
SP,2004,0,1,0,Pentavalente,,95,0,631515,2532,0.0,0.400941,,0
PR,2004,0,1,0,Pentavalente,,95,0,167234,37,0.0,0.0221247,,0
SC,2004,0,1,0,Pentavalente,,95,0,89285,121,0.0,0.135521,,0
RS,2004,0,1,0,Pentavalente,,95,0,157321,91,0.0,0.0578435,,0
MS,2004,0,1,0,Pentavalente,,95,0,41593,5,0.0,0.0120213,,0
GO,2004,0,1,0,Pentavalente,,95,0,96695,1,0.0,0.00103418,,0
DF,2004,0,1,0,Pentavalente,,95,0,42453,7,0.0,0.0164888,,0
RO,2004,0,1,0,Poliomielite inativada,,95,0,30104,33,0.0,0.10962,,0
AC,2004,0,1,0,Poliomielite inativada,,95,0,17065,29,0.0,0.169938,,0
AM,2004,0,1,0,Poliomielite inativada,,95,0,78316,87,0.0,0.111088,,0
RR,2004,0,1,0,Poliomielite inativada,,95,0,9855,2,0.0,0.0202943,,0
PA,2004,0,1,0,Poliomielite inativada,,95,0,157734,5,0.0,0.00316989,,0
TO,2004,0,1,0,Poliomielite inativada,,95,0,26674,2,0.0,0.00749794,,0
MA,2004,0,1,0,Poliomielite inativada,,95,0,133203,28,0.0,0.0210205,,0
PI,2004,0,1,0,Poliomielite inativada,,95,0,58490,12,0.0,0.0205163,,0
CE,2004,0,1,0,Poliomielite inativada,,95,0,146703,18,0.0,0.0122697,,0
RN,2004,0,1,0,Poliomielite inativada,,95,0,53584,1,0.0,0.00186623,,0
PB,2004,0,1,0,Poliomielite inativada,,95,0,65629,113,0.0,0.17218,,0
PE,2004,0,1,0,Poliomielite inativada,,95,0,157075,24,0.0,0.0152793,,0
AL,2004,0,1,0,Poliomielite inativada,,95,0,64555,6,0.0,0.0092944,,0
SE,2004,0,1,0,Poliomielite inativada,,95,0,37051,4,0.0,0.0107959,,0
BA,2004,0,1,0,Poliomielite inativada,,95,0,253493,15,0.0,0.00591732,,0
MG,2004,0,1,0,Poliomielite inativada,,95,0,301434,199,0.0,0.0660178,,0
ES,2004,0,1,0,Poliomielite inativada,,95,0,57569,77,0.0,0.133753,,0
RJ,2004,0,1,0,Poliomielite inativada,,95,0,231787,236,0.0,0.101818,,0
SP,2004,0,1,0,Poliomielite inativada,,95,0,631515,13656,0.0,2.16242,,0
PR,2004,0,1,0,Poliomielite inativada,,95,0,167234,272,0.0,0.162646,,0
SC,2004,0,1,0,Poliomielite inativada,,95,0,89285,484,0.0,0.542084,,0
RS,2004,0,1,0,Poliomielite inativada,,95,0,157321,1329,0.0,0.84477,,0
MS,2004,0,1,0,Poliomielite inativada,,95,0,41593,120,0.0,0.28851,,0
MT,2004,0,1,0,Poliomielite inativada,,95,0,51863,17,0.0,0.0327787,,0
GO,2004,0,1,0,Poliomielite inativada,,95,0,96695,13,0.0,0.0134443,,0
DF,2004,0,1,0,Poliomielite inativada,,95,0,42453,222,0.0,0.522931,,0
RO,2004,0,1,0,Tetravalente,,95,1,30104,29641,78.8462,98.462,,0
AC,2004,0,1,0,Tetravalente,,95,0,17065,15947,68.1818,93.4486,,0
AM,2004,0,1,0,Tetravalente,,95,0,78316,73170,82.2581,93.4292,,0
RR,2004,0,1,0,Tetravalente,,95,1,9855,9441,33.3333,95.7991,,0
PA,2004,0,1,0,Tetravalente,,95,1,157734,166152,84.6154,105.337,,0
AP,2004,0,1,0,Tetravalente,,95,1,16259,15555,93.75,95.6701,,0
TO,2004,0,1,0,Tetravalente,,95,1,26674,25998,74.1007,97.4657,,0
MA,2004,0,1,0,Tetravalente,,95,1,133203,135225,69.5853,101.518,,0
PI,2004,0,1,0,Tetravalente,,95,0,58490,54921,69.8198,93.8981,,0
CE,2004,0,1,0,Tetravalente,,95,1,146703,141288,85.8696,96.3089,,0
RN,2004,0,1,0,Tetravalente,,95,1,53584,51598,69.4611,96.2937,,0
PB,2004,0,1,0,Tetravalente,,95,1,65629,64244,67.2646,97.8897,,0
PE,2004,0,1,0,Tetravalente,,95,1,157075,161851,76.2162,103.041,,0
AL,2004,0,1,0,Tetravalente,,95,1,64555,65325,83.3333,101.193,,0
SE,2004,0,1,0,Tetravalente,,95,1,37051,37563,70.6667,101.382,,0
BA,2004,0,1,0,Tetravalente,,95,1,253493,258209,85.8513,101.86,,0
MG,2004,0,1,0,Tetravalente,,95,0,301434,286228,80.3048,94.9554,,0
ES,2004,0,1,0,Tetravalente,,95,0,57569,54651,84.6154,94.9313,,0
RJ,2004,0,1,0,Tetravalente,,95,1,231787,229354,65.2174,98.9503,,0
SP,2004,0,1,0,Tetravalente,,95,1,631515,612945,79.845,97.0595,,0
PR,2004,0,1,0,Tetravalente,,95,0,167234,155262,64.411,92.8412,,0
SC,2004,0,1,0,Tetravalente,,95,1,89285,85335,78.157,95.576,,0
RS,2004,0,1,0,Tetravalente,,95,0,157321,143154,63.7097,90.9948,,0
MS,2004,0,1,0,Tetravalente,,95,1,41593,40427,75.3247,97.1966,,0
MT,2004,0,1,0,Tetravalente,,95,1,51863,54230,79.8561,104.564,,0
GO,2004,0,1,0,Tetravalente,,95,1,96695,98159,75.2033,101.514,,0
DF,2004,0,1,0,Tetravalente,,95,1,42453,43549,100.0,102.582,,0
RO,2004,0,1,0,Tríplice Bacteriana,,95,0,30104,7,0.0,0.0232527,,0
AC,2004,0,1,0,Tríplice Bacteriana,,95,0,17065,16,0.0,0.0937592,,0
AM,2004,0,1,0,Tríplice Bacteriana,,95,0,78316,445,0.0,0.568211,,0
RR,2004,0,1,0,Tríplice Bacteriana,,95,0,9855,35,0.0,0.35515,,0
TO,2004,0,1,0,Tríplice Bacteriana,,95,0,26674,66,0.0,0.247432,,0
PI,2004,0,1,0,Tríplice Bacteriana,,95,0,58490,1,0.0,0.00170969,,0
CE,2004,0,1,0,Tríplice Bacteriana,,95,0,146703,654,0.0,0.445799,,0
RN,2004,0,1,0,Tríplice Bacteriana,,95,0,53584,374,0.0,0.69797,,0
PB,2004,0,1,0,Tríplice Bacteriana,,95,0,65629,226,2.94118,0.34436,,0
PE,2004,0,1,0,Tríplice Bacteriana,,95,0,157075,33,0.0,0.0210091,,0
AL,2004,0,1,0,Tríplice Bacteriana,,95,0,64555,216,0.0,0.334598,,0
BA,2004,0,1,0,Tríplice Bacteriana,,95,0,253493,1996,0.0,0.787398,,0
MG,2004,0,1,0,Tríplice Bacteriana,,95,0,301434,707,0.0,0.234546,,0
ES,2004,0,1,0,Tríplice Bacteriana,,95,0,57569,391,0.0,0.679185,,0
RJ,2004,0,1,0,Tríplice Bacteriana,,95,0,231787,3279,1.88679,1.41466,,0
SP,2004,0,1,0,Tríplice Bacteriana,,95,0,631515,218,0.0,0.0345202,,0
PR,2004,0,1,0,Tríplice Bacteriana,,95,0,167234,60,0.0,0.0358779,,0
RS,2004,0,1,0,Tríplice Bacteriana,,95,0,157321,134,0.0,0.0851762,,0
MS,2004,0,1,0,Tríplice Bacteriana,,95,0,41593,151,0.0,0.363042,,0
GO,2004,0,1,0,Tríplice Bacteriana,,95,0,96695,687,0.0,0.710481,,0
DF,2004,0,1,0,Tríplice Bacteriana,,95,0,42453,422,0.0,0.99404,,0
RO,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,30104,6,0.0,0.0199309,-100.0,0
AC,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,17065,11,0.0,0.0644594,0.0,0
AM,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,78316,14,0.0,0.0178763,57.5758,0
RR,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,9855,4,0.0,0.0405885,-300.0,0
PA,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,157734,129,0.0,0.0817833,-126.316,0
AP,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,16259,1,0.0,0.00615044,0.0,0
TO,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,26674,7,0.0,0.0262428,-250.0,0
MA,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,133203,44,0.0,0.0330323,-69.2308,0
PI,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,58490,19,0.0,0.0324842,-90.0,0
CE,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,146703,23,0.0,0.0156779,-76.9231,0
RN,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,53584,9,0.0,0.0167961,25.0,0
PB,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,65629,31,0.0,0.0472352,-63.1579,0
PE,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,157075,11,0.0,0.00700302,-22.2222,0
AL,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,64555,48,0.0,0.0743552,-11.6279,0
SE,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,37051,12,0.0,0.0323878,-500.0,0
BA,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,253493,1167,0.0,0.460368,5.12195,0
MG,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,301434,212,0.0,0.0703305,-43.2432,0
ES,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,57569,122,0.0,0.21192,-19.6078,0
RJ,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,231787,740,0.0,0.319259,16.8539,0
SP,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,631515,12891,0.0,2.04128,1.64797,0
PR,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,167234,146,0.0,0.0873028,-1.38889,0
SC,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,89285,150,0.0,0.168001,-17.1875,0
RS,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,157321,547,0.0,0.347697,-17.6344,0
MS,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,41593,155,0.0,0.372659,4.90798,0
MT,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,51863,40,0.0,0.0771263,-11.1111,0
GO,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,96695,74,0.0,0.0765293,-221.739,0
DF,2004,0,2,0,Haemophilus influenzae tipo b,,95,0,42453,1284,0.0,3.02452,-6.64452,0
RO,2004,0,2,0,Hepatite B,,95,0,30104,28321,69.2308,94.0772,8.12328,0
AC,2004,0,2,0,Hepatite B,,95,0,17065,14994,59.0909,87.8641,23.1707,0
AM,2004,0,2,0,Hepatite B,,95,0,78316,61773,43.5484,78.8766,18.5547,0
RR,2004,0,2,0,Hepatite B,,95,0,9855,8536,13.3333,86.6159,18.0649,0
PA,2004,0,2,0,Hepatite B,,95,0,157734,142825,74.8252,90.548,13.8071,0
AP,2004,0,2,0,Hepatite B,,95,0,16259,13737,81.25,84.4886,17.7425,0
TO,2004,0,2,0,Hepatite B,,95,0,26674,25170,71.223,94.3615,10.0204,0
MA,2004,0,2,0,Hepatite B,,95,0,133203,125105,62.212,93.9206,17.2362,0
PI,2004,0,2,0,Hepatite B,,95,0,58490,53637,60.3604,91.7029,12.9609,0
CE,2004,0,2,0,Hepatite B,,95,0,146703,133046,73.3696,90.6907,12.6685,0
RN,2004,0,2,0,Hepatite B,,95,0,53584,49250,62.2754,91.9118,9.53011,0
PB,2004,0,2,0,Hepatite B,,95,0,65629,60553,61.435,92.2656,17.362,0
PE,2004,0,2,0,Hepatite B,,95,0,157075,147689,67.027,94.0245,17.3347,0
AL,2004,0,2,0,Hepatite B,,95,0,64555,59399,70.5882,92.013,12.5469,0
SE,2004,0,2,0,Hepatite B,,95,1,37051,35948,69.3333,97.023,23.776,0
BA,2004,0,2,0,Hepatite B,,95,0,253493,228467,70.024,90.1275,15.3964,0
MG,2004,0,2,0,Hepatite B,,95,0,301434,274115,70.9261,90.937,7.92086,0
ES,2004,0,2,0,Hepatite B,,95,0,57569,54330,76.9231,94.3737,11.5406,0
RJ,2004,0,2,0,Hepatite B,,95,0,231787,216773,54.3478,93.5225,9.18144,0
SP,2004,0,2,0,Hepatite B,,95,1,631515,600980,79.6899,95.1648,11.3816,0
PR,2004,0,2,0,Hepatite B,,95,0,167234,153279,64.9123,91.6554,6.6607,0
SC,2004,0,2,0,Hepatite B,,95,0,89285,83916,74.4027,93.9867,5.78117,0
RS,2004,0,2,0,Hepatite B,,95,0,157321,140446,57.0564,89.2735,10.1174,0
MS,2004,0,2,0,Hepatite B,,95,0,41593,37237,64.9351,89.5271,11.7878,0
MT,2004,0,2,0,Hepatite B,,95,0,51863,47491,58.2734,91.5701,13.9671,0
GO,2004,0,2,0,Hepatite B,,95,0,96695,83537,65.0406,86.3923,7.04478,0
DF,2004,0,2,0,Hepatite B,,95,1,42453,44505,100.0,104.834,23.927,0
AC,2004,0,2,0,Meningocócica Conjugada - C,,95,0,17065,1,0.0,0.00585995,,0
RR,2004,0,2,0,Meningocócica Conjugada - C,,95,0,9855,3,0.0,0.0304414,57.1429,0
PA,2004,0,2,0,Meningocócica Conjugada - C,,95,0,157734,106,0.0,0.0672017,45.641,0
CE,2004,0,2,0,Meningocócica Conjugada - C,,95,0,146703,2,0.0,0.0013633,0.0,0
RN,2004,0,2,0,Meningocócica Conjugada - C,,95,0,53584,20,0.0,0.0373246,48.7179,0
SE,2004,0,2,0,Meningocócica Conjugada - C,,95,0,37051,4,0.0,0.0107959,55.5556,0
MG,2004,0,2,0,Meningocócica Conjugada - C,,95,0,301434,573,0.0,0.190091,35.906,0
ES,2004,0,2,0,Meningocócica Conjugada - C,,95,0,57569,3,0.0,0.00521114,76.9231,0
RJ,2004,0,2,0,Meningocócica Conjugada - C,,95,0,231787,208,0.0,0.0897376,74.3842,0
SP,2004,0,2,0,Meningocócica Conjugada - C,,95,0,631515,9803,0.0,1.5523,26.6133,0
PR,2004,0,2,0,Meningocócica Conjugada - C,,95,0,167234,32,0.0,0.0191349,62.7907,0
SC,2004,0,2,0,Meningocócica Conjugada - C,,95,0,89285,234,0.0,0.262082,17.0213,0
RS,2004,0,2,0,Meningocócica Conjugada - C,,95,0,157321,37,0.0,0.0235188,46.3768,0
MS,2004,0,2,0,Meningocócica Conjugada - C,,95,0,41593,60,0.0,0.144255,34.0659,0
MT,2004,0,2,0,Meningocócica Conjugada - C,,95,0,51863,1,0.0,0.00192816,83.3333,0
GO,2004,0,2,0,Meningocócica Conjugada - C,,95,0,96695,18,0.0,0.0186152,78.5714,0
DF,2004,0,2,0,Meningocócica Conjugada - C,,95,0,42453,202,0.0,0.47582,25.4613,0
RO,2004,0,2,0,Oral Poliomielite,,95,1,30104,30549,80.7692,101.478,-1.56931,0
AC,2004,0,2,0,Oral Poliomielite,,95,1,17065,18615,63.6364,109.083,15.5093,0
AM,2004,0,2,0,Oral Poliomielite,,95,0,78316,61561,35.4839,78.6059,9.55823,0
RR,2004,0,2,0,Oral Poliomielite,,95,1,9855,9501,46.6667,96.4079,5.45328,0
PA,2004,0,2,0,Oral Poliomielite,,95,0,157734,146260,68.5315,92.7257,13.391,0
AP,2004,0,2,0,Oral Poliomielite,,95,1,16259,15692,100.0,96.5127,15.5072,0
TO,2004,0,2,0,Oral Poliomielite,,95,1,26674,26988,82.7338,101.177,-2.32805,0
MA,2004,0,2,0,Oral Poliomielite,,95,1,133203,136753,72.8111,102.665,10.5722,0
PI,2004,0,2,0,Oral Poliomielite,,95,1,58490,60973,87.8378,104.245,-2.70521,0
CE,2004,0,2,0,Oral Poliomielite,,95,1,146703,145923,91.8478,99.4683,1.51451,0
RN,2004,0,2,0,Oral Poliomielite,,95,1,53584,51503,62.2754,96.1164,5.67734,0
PB,2004,0,2,0,Oral Poliomielite,,95,1,65629,63200,70.4036,96.2989,5.4416,0
PE,2004,0,2,0,Oral Poliomielite,,95,1,157075,160766,82.1622,102.35,2.68579,0
AL,2004,0,2,0,Oral Poliomielite,,95,1,64555,62259,82.3529,96.4433,5.62671,0
SE,2004,0,2,0,Oral Poliomielite,,95,1,37051,38673,86.6667,104.378,2.32364,0
BA,2004,0,2,0,Oral Poliomielite,,95,1,253493,241710,76.7386,95.3517,9.41186,0
MG,2004,0,2,0,Oral Poliomielite,,95,1,301434,291045,82.7667,96.5535,-0.0388407,0
ES,2004,0,2,0,Oral Poliomielite,,95,1,57569,61428,92.3077,106.703,1.72149,0
RJ,2004,0,2,0,Oral Poliomielite,,95,1,231787,240935,65.2174,103.947,3.08561,0
SP,2004,0,2,0,Oral Poliomielite,,95,1,631515,623380,81.8605,98.7118,2.77977,0
PR,2004,0,2,0,Oral Poliomielite,,95,1,167234,160029,74.6867,95.6917,-2.58861,0
SC,2004,0,2,0,Oral Poliomielite,,95,1,89285,85665,78.4983,95.9456,-0.0829497,0
RS,2004,0,2,0,Oral Poliomielite,,95,1,157321,150825,68.75,95.8709,-5.05987,0
MS,2004,0,2,0,Oral Poliomielite,,95,1,41593,40041,75.3247,96.2686,7.74176,0
MT,2004,0,2,0,Oral Poliomielite,,95,1,51863,56110,89.2086,108.189,2.38514,0
GO,2004,0,2,0,Oral Poliomielite,,95,1,96695,100191,82.5203,103.615,-2.02646,0
DF,2004,0,2,0,Oral Poliomielite,,95,1,42453,48064,100.0,113.217,-6.53427,0
AC,2004,0,2,0,Pentavalente,,95,0,17065,17,0.0,0.0996191,77.6316,0
PA,2004,0,2,0,Pentavalente,,95,0,157734,56,0.0,0.0355028,-27.2727,0
TO,2004,0,2,0,Pentavalente,,95,0,26674,1,0.0,0.00374897,66.6667,0
PI,2004,0,2,0,Pentavalente,,95,0,58490,19,0.0,0.0324842,-58.3333,0
CE,2004,0,2,0,Pentavalente,,95,0,146703,2,0.0,0.0013633,,0
RN,2004,0,2,0,Pentavalente,,95,0,53584,23,0.0,0.0429233,-53.3333,0
SE,2004,0,2,0,Pentavalente,,95,0,37051,1,0.0,0.00269898,0.0,0
MG,2004,0,2,0,Pentavalente,,95,0,301434,226,0.0,0.074975,44.0594,0
RJ,2004,0,2,0,Pentavalente,,95,0,231787,10,0.0,0.00431431,84.375,0
SP,2004,0,2,0,Pentavalente,,95,0,631515,850,0.0,0.134597,66.4297,0
PR,2004,0,2,0,Pentavalente,,95,0,167234,4,0.0,0.00239186,89.1892,0
SC,2004,0,2,0,Pentavalente,,95,0,89285,104,0.0,0.116481,14.0496,0
RS,2004,0,2,0,Pentavalente,,95,0,157321,96,0.0,0.0610217,-5.49451,0
GO,2004,0,2,0,Pentavalente,,95,0,96695,4,0.0,0.00413672,-300.0,0
DF,2004,0,2,0,Pentavalente,,95,0,42453,1,0.0,0.00235555,85.7143,0
RO,2004,0,2,0,Poliomielite inativada,,95,0,30104,1,0.0,0.00332182,99.9967,0
AC,2004,0,2,0,Poliomielite inativada,,95,0,17065,35,0.0,0.205098,99.8411,0
AM,2004,0,2,0,Poliomielite inativada,,95,0,78316,22,0.0,0.0280913,99.9677,0
RR,2004,0,2,0,Poliomielite inativada,,95,0,9855,5,0.0,0.0507357,99.9502,0
PA,2004,0,2,0,Poliomielite inativada,,95,0,157734,8,0.0,0.00507183,99.9953,0
MA,2004,0,2,0,Poliomielite inativada,,95,0,133203,21,0.0,0.0157654,99.9863,0
PI,2004,0,2,0,Poliomielite inativada,,95,0,58490,6,0.0,0.0102582,99.9899,0
CE,2004,0,2,0,Poliomielite inativada,,95,0,146703,6,0.0,0.0040899,99.9959,0
PE,2004,0,2,0,Poliomielite inativada,,95,0,157075,26,0.0,0.0165526,99.9843,0
AL,2004,0,2,0,Poliomielite inativada,,95,0,64555,4,0.0,0.00619627,99.9939,0
SE,2004,0,2,0,Poliomielite inativada,,95,0,37051,6,0.0,0.0161939,99.9848,0
BA,2004,0,2,0,Poliomielite inativada,,95,0,253493,27,0.0,0.0106512,99.9899,0
MG,2004,0,2,0,Poliomielite inativada,,95,0,301434,138,0.0,0.0457812,99.9526,0
ES,2004,0,2,0,Poliomielite inativada,,95,0,57569,49,0.0,0.0851153,99.9216,0
RJ,2004,0,2,0,Poliomielite inativada,,95,0,231787,57,0.0,0.0245915,99.9771,0
SP,2004,0,2,0,Poliomielite inativada,,95,0,631515,12462,0.0,1.97335,98.0565,0
PR,2004,0,2,0,Poliomielite inativada,,95,0,167234,202,0.0,0.120789,99.8705,0
SC,2004,0,2,0,Poliomielite inativada,,95,0,89285,464,0.0,0.519684,99.4579,0
RS,2004,0,2,0,Poliomielite inativada,,95,0,157321,1059,0.0,0.673146,99.2623,0
MS,2004,0,2,0,Poliomielite inativada,,95,0,41593,131,0.0,0.314957,99.6982,0
MT,2004,0,2,0,Poliomielite inativada,,95,0,51863,19,0.0,0.036635,99.9669,0
GO,2004,0,2,0,Poliomielite inativada,,95,0,96695,7,0.0,0.00723926,99.9929,0
DF,2004,0,2,0,Poliomielite inativada,,95,0,42453,234,0.0,0.551198,99.4813,0
RO,2004,0,2,0,Tetravalente,,95,1,30104,30645,84.6154,101.797,-3.3872,0
AC,2004,0,2,0,Tetravalente,,95,0,17065,15192,59.0909,89.0243,4.73443,0
AM,2004,0,2,0,Tetravalente,,95,0,78316,66702,58.0645,85.1703,8.83969,0
RR,2004,0,2,0,Tetravalente,,95,0,9855,9192,33.3333,93.2725,2.63743,0
PA,2004,0,2,0,Tetravalente,,95,1,157734,153983,79.7203,97.6219,7.32402,0
AP,2004,0,2,0,Tetravalente,,95,0,16259,14567,100.0,89.5935,6.35166,0
TO,2004,0,2,0,Tetravalente,,95,1,26674,26866,82.0144,100.72,-3.33872,0
MA,2004,0,2,0,Tetravalente,,95,0,133203,125184,59.9078,93.9799,7.4254,0
PI,2004,0,2,0,Tetravalente,,95,1,58490,59175,83.3333,101.171,-7.74567,0
CE,2004,0,2,0,Tetravalente,,95,1,146703,142829,91.3043,97.3593,-1.09068,0
RN,2004,0,2,0,Tetravalente,,95,1,53584,51259,68.2635,95.661,0.657002,0
PB,2004,0,2,0,Tetravalente,,95,1,65629,63272,71.3004,96.4086,1.51298,0
PE,2004,0,2,0,Tetravalente,,95,1,157075,161572,82.1622,102.863,0.172381,0
AL,2004,0,2,0,Tetravalente,,95,1,64555,64282,82.3529,99.5771,1.59663,0
SE,2004,0,2,0,Tetravalente,,95,1,37051,38626,86.6667,104.251,-2.82991,0
BA,2004,0,2,0,Tetravalente,,95,1,253493,243308,80.0959,95.9821,5.77091,0
MG,2004,0,2,0,Tetravalente,,95,1,301434,291739,84.0563,96.7837,-1.92539,0
ES,2004,0,2,0,Tetravalente,,95,1,57569,58257,89.7436,101.195,-6.59823,0
RJ,2004,0,2,0,Tetravalente,,95,1,231787,231183,72.8261,99.7394,-0.797457,0
