"","process","gene_set_specific","immune_system","immune_sub_system","immune_tissue","go_term","genes","set_size_specific","set_size_nested"
"758","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","RPS6KB1",59,101
"759","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","MRC1",59,101
"760","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CX3CL1",59,101
"761","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","XCL1",59,101
"762","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","TDGF1",59,101
"763","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","TLR4",59,101
"764","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","IRF8",59,101
"765","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CDC42",59,101
"766","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","RPL13A",59,101
"767","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CCL20",59,101
"768","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","LGALS9",59,101
"769","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","STXBP3",59,101
"770","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","MYO1C",59,101
"771","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","ACTR2",59,101
"772","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CCL24",59,101
"773","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","ACTR3",59,101
"774","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CASP1",59,101
"775","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","FASLG",59,101
"776","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","SIRPA",59,101
"777","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CCL7",59,101
"778","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CCL23",59,101
"779","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","KIF5B",59,101
"780","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","VIM",59,101
"781","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CD58",59,101
"782","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","CALM1",59,101
"783","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","GBP7",59,101
"784","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","IL12B",59,101
"785","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","WNT5A",59,101
"786","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","HLA-DPA1",59,101
"787","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","PDE12",59,101
"788","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","ACOD1",59,101
"789","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","ADAMTS13",59,101
"790","ANTIVIRAL AND INTERFERON","Cellular response to Interferon II","Innate","Interferon","Undefined","GO:0071346","AIF1",59,101
"791","ARPP","APP, MHC I, endogenous peptide, TAP-dependent","Innate","APP","All","GO:0002485","TAP2",1,91
"792","ARPP","APP, MHC IB, endogenous peptide, TAP-dependent","Innate","APP","All","GO:0002489","TAP2",1,91
"793","ARPP","PRR, TLR MyD88 indep","Innate","PRR","All","GO:0002756","TICAM1",1,91
"794","ARPP","Transport, Peptide antigen","Innate","APP","All","GO:0046968","TAP2",1,91
"795","ARPP","PRR, TIRAP dep, TLR4","Innate","PRR","All","GO:0035665","TIRAP",1,91
"796","ARPP","PRR, TLR1:2, Pathway","Innate","PRR","All","GO:0038123","SCIMP",1,91
"797","ARPP","APP, Exogenous antigen","Innate","APP","APC","GO:0019884","PSME1",2,91
"798","ARPP","APP, Exogenous antigen","Innate","APP","APC","GO:0019884","FCGR1A",2,91
"799","ARPP","APP, MHC IB, exogenous peptide","Innate","APP","All","GO:0002477","HLA-F",2,91
"800","ARPP","APP, MHC IB, exogenous peptide","Innate","APP","All","GO:0002477","HLA-E",2,91
"801","ARPP","APP, MHC IB, exogenous peptide, TAP-dependent","Innate","APP","All","GO:0002481","B2M",2,91
"802","ARPP","APP, MHC IB, exogenous peptide, TAP-dependent","Innate","APP","All","GO:0002481","TAP2",2,91
"803","ARPP","APP, Peptide antigen","Innate","APP","All","GO:0048002","SLC11A1",2,91
"804","ARPP","APP, Peptide antigen","Innate","APP","All","GO:0048002","CTSS",2,91
"805","ARPP","PRR, NOD","Innate","PRR","All","GO:0070423","MAP2K6",2,91
"806","ARPP","PRR, NOD","Innate","PRR","All","GO:0070423","TNFAIP3",2,91
"807","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002502","CALR",2,91
"808","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002502","PDIA3",2,91
"809","ARPP","PRR, TLR2, Pathway","Innate","PRR","All","GO:0034134","PIK3AP1",2,91
"810","ARPP","PRR, TLR2, Pathway","Innate","PRR","All","GO:0034134","TNIP2",2,91
"811","ARPP","PRR, TLR7, Pathway","Innate","PRR","All","GO:0034154","PIK3AP1",2,91
"812","ARPP","PRR, TLR7, Pathway","Innate","PRR","All","GO:0034154","SCIMP",2,91
"813","ARPP","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162","TNIP2",2,91
"814","ARPP","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162","PIK3AP1",2,91
"815","ARPP","PRR, Cell surface, Pathway","Innate","PRR","All","GO:0002752","MBL2",3,91
"816","ARPP","PRR, Cell surface, Pathway","Innate","PRR","All","GO:0002752","LBP",3,91
"817","ARPP","PRR, Cell surface, Pathway","Innate","PRR","All","GO:0002752","CD14",3,91
"818","ARPP","PRR, NOD1","Innate","PRR","All","GO:0070427","NFKBIA",3,91
"819","ARPP","PRR, NOD1","Innate","PRR","All","GO:0070427","TLR4",3,91
"820","ARPP","PRR, NOD1","Innate","PRR","All","GO:0070427","XIAP",3,91
"821","ARPP","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138","TNIP2",3,91
"822","ARPP","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138","SCIMP",3,91
"823","ARPP","PRR, TLR3, Pathway","Innate","PRR","All","GO:0034138","TICAM1",3,91
"824","ARPP","PRR, TLR4 TRAM dep, Pathway","Innate","PRR","All","GO:0035669","PRKCE",3,91
"825","ARPP","PRR, TLR4 TRAM dep, Pathway","Innate","PRR","All","GO:0035669","TICAM2",3,91
"826","ARPP","PRR, TLR4 TRAM dep, Pathway","Innate","PRR","All","GO:0035669","RAB11FIP2",3,91
"827","ARPP","APP, MHC I, exogenous peptide","Innate","APP","All","GO:0042590","FCGR1A",4,91
"828","ARPP","APP, MHC I, exogenous peptide","Innate","APP","All","GO:0042590","FCER1G",4,91
"829","ARPP","APP, MHC I, exogenous peptide","Innate","APP","All","GO:0042590","IFI30",4,91
"830","ARPP","APP, MHC I, exogenous peptide","Innate","APP","All","GO:0042590","MFSD6",4,91
"831","ARPP","APP, MHC IB, Endogenous lipid antigen","Innate","APP","All","GO:0048006","CD1D",4,91
"832","ARPP","APP, MHC IB, Endogenous lipid antigen","Innate","APP","All","GO:0048006","CD1B",4,91
"833","ARPP","APP, MHC IB, Endogenous lipid antigen","Innate","APP","All","GO:0048006","CD1E",4,91
"834","ARPP","APP, MHC IB, Endogenous lipid antigen","Innate","APP","All","GO:0048006","CD1C",4,91
"835","ARPP","PRR, Cytosolic, Pathway","Innate","PRR","Undefined","GO:0002753","MAVS",4,91
"836","ARPP","PRR, Cytosolic, Pathway","Innate","PRR","Undefined","GO:0002753","RIGI",4,91
"837","ARPP","PRR, Cytosolic, Pathway","Innate","PRR","Undefined","GO:0002753","CGAS",4,91
"838","ARPP","PRR, Cytosolic, Pathway","Innate","PRR","Undefined","GO:0002753","STING1",4,91
"839","ARPP","Signaling, PRR","Innate","PRR","All","GO:0002221","CASP1",4,91
"840","ARPP","Signaling, PRR","Innate","PRR","All","GO:0002221","LACC1",4,91
"841","ARPP","Signaling, PRR","Innate","PRR","All","GO:0002221","CGAS",4,91
"842","ARPP","Signaling, PRR","Innate","PRR","All","GO:0002221","STING1",4,91
"843","ARPP","PRR, RIG-I, Pathway","Innate","PRR","All","GO:0039529","RNF135",4,91
"844","ARPP","PRR, RIG-I, Pathway","Innate","PRR","All","GO:0039529","PHB1",4,91
"845","ARPP","PRR, RIG-I, Pathway","Innate","PRR","All","GO:0039529","RIGI",4,91
"846","ARPP","PRR, RIG-I, Pathway","Innate","PRR","All","GO:0039529","LSM14A",4,91
"847","ARPP","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666","TICAM2",4,91
"848","ARPP","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666","TICAM1",4,91
"849","ARPP","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666","TLR4",4,91
"850","ARPP","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666","CD40",4,91
"851","ARPP","APP, MHC I, endogenous peptide","Innate","APP","All","GO:0019885","TAP2",5,91
"852","ARPP","APP, MHC I, endogenous peptide","Innate","APP","All","GO:0019885","TAP1",5,91
"853","ARPP","APP, MHC I, endogenous peptide","Innate","APP","All","GO:0019885","ERAP2",5,91
"854","ARPP","APP, MHC I, endogenous peptide","Innate","APP","All","GO:0019885","B2M",5,91
"855","ARPP","APP, MHC I, endogenous peptide","Innate","APP","All","GO:0019885","IDE",5,91
"856","ARPP","APP, MHC IB, Exogenous lipid antigen","Innate","APP","All","GO:0048007","CD1B",5,91
"857","ARPP","APP, MHC IB, Exogenous lipid antigen","Innate","APP","All","GO:0048007","AP3B1",5,91
"858","ARPP","APP, MHC IB, Exogenous lipid antigen","Innate","APP","All","GO:0048007","CD1E",5,91
"859","ARPP","APP, MHC IB, Exogenous lipid antigen","Innate","APP","All","GO:0048007","CD1D",5,91
"860","ARPP","APP, MHC IB, Exogenous lipid antigen","Innate","APP","All","GO:0048007","CD1C",5,91
"861","ARPP","PRR, TLR MyD88 dep","Innate","PRR","All","GO:0002755","TLR4",5,91
"862","ARPP","PRR, TLR MyD88 dep","Innate","PRR","All","GO:0002755","REG3G",5,91
"863","ARPP","PRR, TLR MyD88 dep","Innate","PRR","All","GO:0002755","HSPD1",5,91
"864","ARPP","PRR, TLR MyD88 dep","Innate","PRR","All","GO:0002755","TIRAP",5,91
"865","ARPP","PRR, TLR MyD88 dep","Innate","PRR","All","GO:0002755","BTK",5,91
"866","ARPP","APP, MHC I, endogenous peptide, TAP-independent","Innate","APP","All","GO:0002486","HLA-E",6,91
"867","ARPP","APP, MHC I, endogenous peptide, TAP-independent","Innate","APP","All","GO:0002486","RAET1L",6,91
"868","ARPP","APP, MHC I, endogenous peptide, TAP-independent","Innate","APP","All","GO:0002486","RAET1G",6,91
"869","ARPP","APP, MHC I, endogenous peptide, TAP-independent","Innate","APP","All","GO:0002486","HLA-C",6,91
"870","ARPP","APP, MHC I, endogenous peptide, TAP-independent","Innate","APP","All","GO:0002486","HLA-G",6,91
"871","ARPP","APP, MHC I, endogenous peptide, TAP-independent","Innate","APP","All","GO:0002486","HLA-F",6,91
"872","ARPP","APP, MHC IB, endogenous peptide","Innate","APP","All","GO:0002476","HLA-C",6,91
"873","ARPP","APP, MHC IB, endogenous peptide","Innate","APP","All","GO:0002476","HLA-F",6,91
"874","ARPP","APP, MHC IB, endogenous peptide","Innate","APP","All","GO:0002476","RAET1G",6,91
"875","ARPP","APP, MHC IB, endogenous peptide","Innate","APP","All","GO:0002476","HLA-G",6,91
"876","ARPP","APP, MHC IB, endogenous peptide","Innate","APP","All","GO:0002476","RAET1L",6,91
"877","ARPP","APP, MHC IB, endogenous peptide","Innate","APP","All","GO:0002476","HLA-E",6,91
"878","ARPP","APP, MHC II, polysacharide or peptide","Innate","APP","APC","GO:0002504","HLA-DRB3",6,91
"879","ARPP","APP, MHC II, polysacharide or peptide","Innate","APP","APC","GO:0002504","HLA-DMB",6,91
"880","ARPP","APP, MHC II, polysacharide or peptide","Innate","APP","APC","GO:0002504","HLA-DRB4",6,91
"881","ARPP","APP, MHC II, polysacharide or peptide","Innate","APP","APC","GO:0002504","HLA-DMA",6,91
"882","ARPP","APP, MHC II, polysacharide or peptide","Innate","APP","APC","GO:0002504","HLA-DOB",6,91
"883","ARPP","APP, MHC II, polysacharide or peptide","Innate","APP","APC","GO:0002504","HLA-DPA1",6,91
"884","ARPP","PRR, NOD2","Innate","PRR","All","GO:0070431","TLR4",6,91
"885","ARPP","PRR, NOD2","Innate","PRR","All","GO:0070431","LACC1",6,91
"886","ARPP","PRR, NOD2","Innate","PRR","All","GO:0070431","IRGM",6,91
"887","ARPP","PRR, NOD2","Innate","PRR","All","GO:0070431","XIAP",6,91
"888","ARPP","PRR, NOD2","Innate","PRR","All","GO:0070431","NFKBIA",6,91
"889","ARPP","PRR, NOD2","Innate","PRR","All","GO:0070431","RELA",6,91
"890","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002503","HLA-DRB3",7,91
"891","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002503","HLA-DMB",7,91
"892","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002503","HLA-DMA",7,91
"893","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002503","B2M",7,91
"894","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002503","HLA-DRB4",7,91
"895","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002503","HLA-DPA1",7,91
"896","ARPP","MHCII, Peptide complex","Innate","APP","APC","GO:0002503","HLA-DOB",7,91
"897","ARPP","APP, MHC I, Peptide antigen","Innate","APP","All","GO:0002474","HLA-G",7,91
"898","ARPP","APP, MHC I, Peptide antigen","Innate","APP","All","GO:0002474","HLA-E",7,91
"899","ARPP","APP, MHC I, Peptide antigen","Innate","APP","All","GO:0002474","B2M",7,91
"900","ARPP","APP, MHC I, Peptide antigen","Innate","APP","All","GO:0002474","HLA-F",7,91
"901","ARPP","APP, MHC I, Peptide antigen","Innate","APP","All","GO:0002474","HLA-C",7,91
"902","ARPP","APP, MHC I, Peptide antigen","Innate","APP","All","GO:0002474","ACE",7,91
"903","ARPP","APP, MHC I, Peptide antigen","Innate","APP","All","GO:0002474","ERAP2",7,91
"904","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","SYK",9,91
"905","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","PLCG2",9,91
"906","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","KLRC1",9,91
"907","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","EP300",9,91
"908","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","CLEC6A",9,91
"909","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","KLRC2",9,91
"910","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","KLRC3",9,91
"911","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","SRC",9,91
"912","ARPP","C-type lectin receptor, PRR","Innate","PRR","All","GO:0002223","KLRK1",9,91
"913","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","TLR4",9,91
"914","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","CD14",9,91
"915","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","NAGLU",9,91
"916","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","PIK3AP1",9,91
"917","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","TRIL",9,91
"918","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","NFKBIA",9,91
"919","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","SCIMP",9,91
"920","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","TIRAP",9,91
"921","ARPP","PRR, TLR4, Pathway","Innate","PRR","All","GO:0034142","RELA",9,91
"922","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","AP3B1",9,91
"923","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","TLR4",9,91
"924","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","FOSL1",9,91
"925","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","RPS6KA3",9,91
"926","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","MAPKAPK2",9,91
"927","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","PLCG2",9,91
"928","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","BCL10",9,91
"929","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","TICAM1",9,91
"930","ARPP","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224","CTSS",9,91
"931","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","IFI30",13,91
"932","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","HLA-DOB",13,91
"933","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","DNM2",13,91
"934","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","HLA-DMB",13,91
"935","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","HLA-DPA1",13,91
"936","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","CTSE",13,91
"937","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","FCGR2B",13,91
"938","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","CTSS",13,91
"939","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","HLA-DMA",13,91
"940","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","HLA-DRB3",13,91
"941","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","FCER1G",13,91
"942","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","HLA-DRB4",13,91
"943","ARPP","APP, MHC II, exogenous peptide","Innate","APP","APC","GO:0019886","B2M",13,91
"944","ARPP","APP","Innate","APP","All","GO:0019882","HLA-DRB4",20,91
"945","ARPP","APP","Innate","APP","All","GO:0019882","RAB27A",20,91
"946","ARPP","APP","Innate","APP","All","GO:0019882","HLA-DRB3",20,91
"947","ARPP","APP","Innate","APP","All","GO:0019882","HLA-DMA",20,91
"948","ARPP","APP","Innate","APP","All","GO:0019882","HLA-DOB",20,91
"949","ARPP","APP","Innate","APP","All","GO:0019882","CTSH",20,91
"950","ARPP","APP","Innate","APP","All","GO:0019882","RELB",20,91
"951","ARPP","APP","Innate","APP","All","GO:0019882","AP3B1",20,91
"952","ARPP","APP","Innate","APP","All","GO:0019882","CTSS",20,91
"953","ARPP","APP","Innate","APP","All","GO:0019882","HLA-DMB",20,91
"954","ARPP","APP","Innate","APP","All","GO:0019882","HLA-DPA1",20,91
"955","ARPP","APP","Innate","APP","All","GO:0019882","RAB4A",20,91
"956","ARPP","APP","Innate","APP","All","GO:0019882","HLA-E",20,91
"957","ARPP","APP","Innate","APP","All","GO:0019882","PSMB8",20,91
"958","ARPP","APP","Innate","APP","All","GO:0019882","RAB5B",20,91
"959","ARPP","APP","Innate","APP","All","GO:0019882","HLA-C",20,91
"960","ARPP","APP","Innate","APP","All","GO:0019882","WDFY4",20,91
"961","ARPP","APP","Innate","APP","All","GO:0019882","RAB3B",20,91
"962","ARPP","APP","Innate","APP","All","GO:0019882","RAB10",20,91
"963","ARPP","APP","Innate","APP","All","GO:0019882","RAB6A",20,91
"964","B CELLS","Activation, Immune response, B cell","Adaptive","B cell","B cell","GO:0002312","GPR183",1,206
"965","B CELLS","Affinity maturation, B cell","Adaptive","B cell","B cell","GO:0002344","BTK",1,206
"966","B CELLS","Chemotaxis, B cell","Adaptive","B cell","B cell","GO:0035754","CH25H",1,206
"967","B CELLS","Negative selection, B cell","Adaptive","B cell","B cell","GO:0002352","BAX",1,206
"968","B CELLS","Apoptotic signaling, BCR, B cell","Adaptive","B cell","B cell","GO:1990117","BAX",1,206
"969","B CELLS","Differentiation, B-1 B cell","Adaptive","B cell","B cell","GO:0001923","CD19",1,206
"970","B CELLS","V(D)J, Ig Heavy chain","Adaptive","Humoral","B cell","GO:0071707","YY1",1,206
"971","B CELLS","Isotype switching, IgG","Adaptive","Humoral","B cell","GO:0048291","HSPD1",1,206
"972","B CELLS","Differentiation, B cell, Mature","Adaptive","Humoral","B cell","GO:0002335","IL2RG",1,206
"973","B CELLS","Differentiation, B cell, Memory","Adaptive","Humoral","B cell","GO:0002319","ST3GAL1",1,206
"974","B CELLS","Tolerance, B cell, Peripheral","Adaptive","Humoral","B cell","GO:0002451","HLA-G",1,206
"975","B CELLS","Differentiation, pre-B cell","Adaptive","Humoral","B cell","GO:0002329","LRRC8A",1,206
"976","B CELLS","Differentiation, B cell, Transitional one stage","Adaptive","Humoral","B cell","GO:0002333","ABL1",1,206
"977","B CELLS","Homeostatic proliferation, B cell","Adaptive","B cell","B cell","GO:0002358","BAX",2,206
"978","B CELLS","Homeostatic proliferation, B cell","Adaptive","B cell","B cell","GO:0002358","RAG2",2,206
"979","B CELLS","Homeostasis, B-1 B cell","Adaptive","B cell","B cell","GO:0001922","TNFAIP3",2,206
"980","B CELLS","Homeostasis, B-1 B cell","Adaptive","B cell","B cell","GO:0001922","ABL1",2,206
"981","B CELLS","Proliferation, thymus, T cell, immature","Adaptive","Humoral","B cell","GO:0033080","WNT4",2,206
"982","B CELLS","Proliferation, thymus, T cell, immature","Adaptive","Humoral","B cell","GO:0033080","CLEC4G",2,206
"983","B CELLS","Isotype switching, IgE","Adaptive","Humoral","B cell","GO:0048289","BCL6",2,206
"984","B CELLS","Isotype switching, IgE","Adaptive","Humoral","B cell","GO:0048289","STAT6",2,206
"985","B CELLS","Allelic exclusion, pre-B cell","Adaptive","Humoral","B cell","GO:0002331","RAG1",2,206
"986","B CELLS","Allelic exclusion, pre-B cell","Adaptive","Humoral","B cell","GO:0002331","RAG2",2,206
"987","B CELLS","Differentiation, pro-T cell","Adaptive","Humoral","B cell","GO:0002572","GATA3",2,206
"988","B CELLS","Differentiation, pro-T cell","Adaptive","Humoral","B cell","GO:0002572","SPI1",2,206
"989","B CELLS","Somatic mutation, Ig genes involved in immune response","Adaptive","Humoral","B cell","GO:0002204","MLH1",2,206
"990","B CELLS","Somatic mutation, Ig genes involved in immune response","Adaptive","Humoral","B cell","GO:0002204","MSH2",2,206
"991","B CELLS","Differentiation, Germinal center, B cell","Adaptive","Humoral","B cell","GO:0002314","CDH17",3,206
"992","B CELLS","Differentiation, Germinal center, B cell","Adaptive","Humoral","B cell","GO:0002314","SPI1",3,206
"993","B CELLS","Differentiation, Germinal center, B cell","Adaptive","Humoral","B cell","GO:0002314","IRF8",3,206
"994","B CELLS","Ig, Humoral immune response","Adaptive","Humoral","B cell","GO:0002455","BCL3",3,206
"995","B CELLS","Ig, Humoral immune response","Adaptive","Humoral","B cell","GO:0002455","ZP3",3,206
"996","B CELLS","Ig, Humoral immune response","Adaptive","Humoral","B cell","GO:0002455","CD81",3,206
"997","B CELLS","V(D)J, Ig","Adaptive","Humoral","B cell","GO:0033152","TCF3",3,206
"998","B CELLS","V(D)J, Ig","Adaptive","Humoral","B cell","GO:0033152","PRKDC",3,206
"999","B CELLS","V(D)J, Ig","Adaptive","Humoral","B cell","GO:0033152","LIG4",3,206
"1000","B CELLS","Somatic mutation, Ig","Adaptive","Humoral","B cell","GO:0002208","SHLD3",3,206
"1001","B CELLS","Somatic mutation, Ig","Adaptive","Humoral","B cell","GO:0002208","SHLD1",3,206
"1002","B CELLS","Somatic mutation, Ig","Adaptive","Humoral","B cell","GO:0002208","SHLD2",3,206
"1003","B CELLS","Lineage commitment, B cell","Adaptive","B cell","B cell","GO:0002326","TCF3",4,206
"1004","B CELLS","Lineage commitment, B cell","Adaptive","B cell","B cell","GO:0002326","BCL2",4,206
"1005","B CELLS","Lineage commitment, B cell","Adaptive","B cell","B cell","GO:0002326","RAG2",4,206
"1006","B CELLS","Lineage commitment, B cell","Adaptive","B cell","B cell","GO:0002326","PRKDC",4,206
"1007","B CELLS","Immunity, B cell","Adaptive","B cell","B cell","GO:0019724","CD40",4,206
"1008","B CELLS","Immunity, B cell","Adaptive","B cell","B cell","GO:0019724","MSH2",4,206
"1009","B CELLS","Immunity, B cell","Adaptive","B cell","B cell","GO:0019724","CD70",4,206
"1010","B CELLS","Immunity, B cell","Adaptive","B cell","B cell","GO:0019724","CD19",4,206
"1011","B CELLS","Proliferation, Immune response, B cell","Adaptive","B cell","B cell","GO:0002322","ABL1",4,206
"1012","B CELLS","Proliferation, Immune response, B cell","Adaptive","B cell","B cell","GO:0002322","CD19",4,206
"1013","B CELLS","Proliferation, Immune response, B cell","Adaptive","B cell","B cell","GO:0002322","TLR4",4,206
"1014","B CELLS","Proliferation, Immune response, B cell","Adaptive","B cell","B cell","GO:0002322","GAPT",4,206
"1015","B CELLS","Differentiation, folicular B cell","Adaptive","Humoral","B cell","GO:0002316","FCGR2B",4,206
"1016","B CELLS","Differentiation, folicular B cell","Adaptive","Humoral","B cell","GO:0002316","IRF8",4,206
"1017","B CELLS","Differentiation, folicular B cell","Adaptive","Humoral","B cell","GO:0002316","SPI1",4,206
"1018","B CELLS","Differentiation, folicular B cell","Adaptive","Humoral","B cell","GO:0002316","PLCG2",4,206
"1019","B CELLS","Differentiation, B cell, Marginal zone","Adaptive","Humoral","B cell","GO:0002315","CDH17",4,206
"1020","B CELLS","Differentiation, B cell, Marginal zone","Adaptive","Humoral","B cell","GO:0002315","BCL3",4,206
"1021","B CELLS","Differentiation, B cell, Marginal zone","Adaptive","Humoral","B cell","GO:0002315","LFNG",4,206
"1022","B CELLS","Differentiation, B cell, Marginal zone","Adaptive","Humoral","B cell","GO:0002315","NOTCH2",4,206
"1023","B CELLS","Differentiation, Immune response, B cell, Mature","Adaptive","Humoral","B cell","GO:0002313","RAG2",4,206
"1024","B CELLS","Differentiation, Immune response, B cell, Mature","Adaptive","Humoral","B cell","GO:0002313","GPR183",4,206
"1025","B CELLS","Differentiation, Immune response, B cell, Mature","Adaptive","Humoral","B cell","GO:0002313","C17orf99",4,206
"1026","B CELLS","Differentiation, Immune response, B cell, Mature","Adaptive","Humoral","B cell","GO:0002313","FCGR2B",4,206
