Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
251460 - São José do Bonfim;108,00%;86,00%;66,00%;68,00%;66,00%;62,00%;86,00%;106,00%;102,00%;72,00%;86,00%;110,00%;72,00%;86,00%;62,00%;102,00%;70,00%;48,00%;36,00%
251470 - São José do Sabugi;106,25%;125,00%;93,75%;90,63%;100,00%;93,75%;125,00%;109,38%;115,63%;103,13%;125,00%;121,88%;103,13%;125,00%;84,38%;121,88%;100,00%;90,63%;90,63%
251490 - São Mamede;110,67%;94,67%;88,00%;81,33%;92,00%;96,00%;94,67%;112,00%;94,67%;106,67%;94,67%;109,33%;102,67%;94,67%;89,33%;106,67%;94,67%;66,67%;57,33%
251670 - Teixeira;103,66%;89,01%;85,86%;82,20%;89,53%;89,01%;89,01%;105,76%;88,48%;93,19%;89,53%;87,43%;91,10%;89,53%;90,58%;87,43%;94,24%;84,29%;42,41%
251710 - Várzea;111,11%;127,78%;155,56%;77,78%;155,56%;144,44%;127,78%;100,00%;105,56%;172,22%;127,78%;116,67%;172,22%;127,78%;150,00%;116,67%;177,78%;144,44%;144,44%
Totais;114,16%;103,52%;103,13%;88,65%;99,53%;101,56%;103,52%;112,75%;103,21%;106,57%;103,52%;104,54%;106,49%;103,83%;100,55%;103,05%;108,45%;96,71%;41,71%
250020 - Aguiar;144,74%;121,05%;94,74%;113,16%;102,63%;107,89%;121,05%;144,74%;121,05%;110,53%;121,05%;128,95%;110,53%;121,05%;100,00%;131,58%;113,16%;94,74%;52,63%
250210 - Boa Ventura;97,73%;161,36%;136,36%;90,91%;136,36%;138,64%;159,09%;95,45%;140,91%;140,91%;161,36%;125,00%;143,18%;161,36%;125,00%;120,45%;145,45%;131,82%;63,64%
250260 - Igaracy;111,11%;93,33%;137,78%;108,89%;100,00%;128,89%;93,33%;113,33%;102,22%;115,56%;93,33%;106,67%;111,11%;91,11%;151,11%;104,44%;117,78%;126,67%;82,22%
250440 - Conceição;124,24%;109,09%;106,67%;104,24%;107,88%;100,61%;110,30%;124,24%;112,73%;109,09%;109,09%;118,18%;109,70%;109,09%;98,18%;116,36%;112,12%;100,61%;36,97%
250480 - Coremas;95,08%;113,11%;96,72%;90,16%;95,08%;94,26%;113,93%;95,90%;116,39%;103,28%;113,11%;113,11%;104,10%;112,30%;93,44%;109,02%;108,20%;86,89%;40,98%
250530 - Curral Velho;114,29%;85,71%;171,43%;150,00%;121,43%;178,57%;85,71%;114,29%;100,00%;135,71%;85,71%;100,00%;142,86%;85,71%;164,29%;100,00%;150,00%;171,43%;57,14%
250560 - Diamante;134,55%;125,45%;114,55%;123,64%;150,91%;112,73%;125,45%;130,91%;130,91%;127,27%;125,45%;125,45%;127,27%;129,09%;101,82%;125,45%;130,91%;109,09%;32,73%
250660 - Ibiara;136,00%;88,00%;82,00%;106,00%;86,00%;80,00%;88,00%;134,00%;80,00%;82,00%;88,00%;86,00%;78,00%;88,00%;72,00%;84,00%;78,00%;78,00%;46,00%
250700 - Itaporanga;124,60%;90,48%;94,05%;72,62%;87,30%;93,65%;90,08%;120,63%;92,46%;103,57%;90,48%;92,46%;103,17%;91,67%;92,06%;92,06%;101,98%;86,51%;25,00%
251020 - Nova Olinda;115,94%;104,35%;102,90%;72,46%;98,55%;97,10%;105,80%;115,94%;104,35%;110,14%;104,35%;108,70%;111,59%;105,80%;88,41%;108,70%;113,04%;101,45%;46,38%
251040 - Olho d'Água;113,33%;80,00%;86,67%;83,33%;86,67%;86,67%;78,33%;116,67%;86,67%;96,67%;80,00%;88,33%;96,67%;78,33%;95,00%;83,33%;100,00%;76,67%;41,67%
251100 - Pedra Branca;92,31%;142,31%;123,08%;73,08%;134,62%;123,08%;142,31%;88,46%;134,62%;107,69%;142,31%;138,46%;103,85%;142,31%;115,38%;138,46%;103,85%;111,54%;65,38%
251130 - Piancó;115,32%;93,55%;95,97%;58,87%;80,65%;93,55%;94,35%;113,71%;87,90%;92,74%;93,55%;93,55%;94,35%;93,55%;103,23%;91,13%;95,97%;87,10%;42,74%
251335 - Santa Inês;66,67%;69,70%;118,18%;84,85%;75,76%;121,21%;69,70%;63,64%;66,67%;100,00%;69,70%;69,70%;96,97%;69,70%;118,18%;72,73%;100,00%;121,21%;51,52%
251350 - Santana de Mangueira;110,00%;110,00%;100,00%;88,00%;100,00%;94,00%;110,00%;110,00%;108,00%;104,00%;110,00%;102,00%;104,00%;112,00%;94,00%;102,00%;114,00%;76,00%;34,00%
251360 - Santana dos Garrotes;96,43%;92,86%;98,21%;105,36%;87,50%;100,00%;91,07%;92,86%;91,07%;100,00%;92,86%;100,00%;100,00%;92,86%;92,86%;98,21%;96,43%;96,43%;48,21%
251430 - São José de Caiana;103,92%;125,49%;107,84%;92,16%;121,57%;105,88%;123,53%;100,00%;121,57%;119,61%;125,49%;119,61%;117,65%;125,49%;109,80%;119,61%;121,57%;111,76%;49,02%
251570 - Serra Grande;79,17%;108,33%;116,67%;100,00%;125,00%;125,00%;108,33%;79,17%;87,50%;125,00%;108,33%;87,50%;125,00%;108,33%;129,17%;83,33%;125,00%;125,00%;50,00%
Totais;90,52%;99,04%;91,19%;87,55%;85,34%;95,50%;99,04%;90,42%;100,67%;99,62%;98,95%;101,44%;97,80%;98,66%;99,14%;100,96%;100,29%;82,38%;45,59%
250200 - Belém do Brejo do Cruz;60,00%;122,50%;82,50%;90,00%;100,00%;92,50%;122,50%;65,00%;110,00%;100,00%;122,50%;110,00%;105,00%;117,50%;82,50%;100,00%;127,50%;67,50%;45,00%
250230 - Bom Sucesso;108,57%;80,00%;94,29%;102,86%;62,86%;91,43%;80,00%;114,29%;74,29%;85,71%;80,00%;80,00%;85,71%;80,00%;91,43%;80,00%;82,86%;94,29%;60,00%
250280 - Brejo do Cruz;91,67%;102,27%;100,00%;90,15%;83,33%;99,24%;102,27%;91,67%;110,61%;107,58%;102,27%;112,12%;105,30%;103,03%;106,82%;112,88%;108,33%;79,55%;35,61%
250290 - Brejo dos Santos;84,13%;82,54%;65,08%;53,97%;61,90%;63,49%;82,54%;84,13%;84,13%;71,43%;82,54%;85,71%;73,02%;80,95%;84,13%;85,71%;82,54%;65,08%;52,38%
250430 - Catolé do Rocha;103,20%;94,66%;97,51%;95,37%;89,32%;96,80%;95,37%;102,49%;98,58%;102,49%;95,02%;97,15%;100,71%;94,31%;95,02%;96,80%;100,71%;90,39%;38,43%
250740 - Jericó;110,53%;100,00%;100,00%;124,56%;100,00%;112,28%;100,00%;110,53%;98,25%;107,02%;100,00%;101,75%;103,51%;101,75%;108,77%;103,51%;110,53%;110,53%;75,44%
250937 - Mato Grosso;109,09%;172,73%;50,00%;59,09%;109,09%;72,73%;172,73%;104,55%;154,55%;100,00%;172,73%;127,27%;109,09%;168,18%;72,73%;122,73%;86,36%;72,73%;81,82%
251280 - Riacho dos Cavalos;104,17%;95,83%;108,33%;81,94%;81,94%;104,17%;97,22%;108,33%;93,06%;91,67%;95,83%;101,39%;93,06%;94,44%;98,61%;101,39%;94,44%;108,33%;59,72%
251390 - São Bento;75,31%;100,62%;84,26%;81,79%;83,33%;95,68%;99,69%;73,46%;102,47%;100,93%;100,00%;103,40%;96,30%;100,62%;104,63%;103,70%;98,46%;69,44%;39,20%
251465 - São José do Brejo do Cruz;72,22%;77,78%;111,11%;72,22%;105,56%;111,11%;77,78%;77,78%;88,89%;105,56%;77,78%;100,00%;105,56%;77,78%;116,67%;88,89%;111,11%;100,00%;100,00%
Totais;99,48%;102,88%;101,77%;104,19%;91,36%;103,27%;103,01%;98,63%;103,80%;107,40%;102,88%;104,32%;106,54%;102,95%;101,31%;103,47%;108,25%;94,63%;46,86%
250070 - São João do Rio do Peixe;91,80%;100,82%;118,03%;140,16%;94,26%;120,49%;100,82%;90,16%;104,10%;118,03%;100,82%;98,36%;112,30%;98,36%;121,31%;98,36%;120,49%;109,02%;60,66%
250205 - Bernardino Batista;94,44%;133,33%;88,89%;91,67%;144,44%;91,67%;133,33%;94,44%;133,33%;130,56%;133,33%;122,22%;130,56%;136,11%;91,67%;125,00%;133,33%;88,89%;38,89%
250220 - Bom Jesus;95,45%;127,27%;127,27%;104,55%;86,36%;127,27%;127,27%;95,45%;122,73%;118,18%;127,27%;113,64%;109,09%;127,27%;122,73%;113,64%;113,64%;122,73%;54,55%
250240 - Bonito de Santa Fé;114,44%;101,11%;106,67%;93,33%;98,89%;100,00%;101,11%;115,56%;97,78%;110,00%;101,11%;98,89%;110,00%;101,11%;102,22%;98,89%;112,22%;80,00%;56,67%
250330 - Cachoeira dos Índios;110,13%;108,86%;126,58%;88,61%;110,13%;124,05%;108,86%;111,39%;115,19%;132,91%;108,86%;102,53%;132,91%;110,13%;124,05%;101,27%;129,11%;112,66%;58,23%
250370 - Cajazeiras;100,32%;95,78%;91,88%;99,51%;83,12%;95,94%;96,10%;99,84%;96,59%;100,49%;95,78%;101,14%;99,84%;96,27%;90,75%;99,68%;100,65%;84,09%;34,09%
250410 - Carrapateira;111,76%;141,18%;170,59%;111,76%;94,12%;158,82%;141,18%;123,53%;117,65%;129,41%;141,18%;152,94%;129,41%;147,06%;158,82%;158,82%;141,18%;147,06%;135,29%
250960 - Monte Horebe;100,00%;96,43%;87,50%;94,64%;76,79%;91,07%;96,43%;98,21%;101,79%;103,57%;96,43%;94,64%;100,00%;94,64%;80,36%;94,64%;108,93%;98,21%;46,43%
251203 - Poço Dantas;86,84%;144,74%;94,74%;86,84%;107,89%;97,37%;144,74%;52,63%;136,84%;113,16%;144,74%;131,58%;115,79%;142,11%;92,11%;126,32%;121,05%;94,74%;73,68%
251207 - Poço de José de Moura;118,52%;114,81%;155,56%;114,81%;122,22%;155,56%;114,81%;118,52%;118,52%;151,85%;114,81%;111,11%;148,15%;114,81%;137,04%;111,11%;151,85%;148,15%;44,44%
251330 - Santa Helena;107,69%;115,38%;97,44%;89,74%;94,87%;84,62%;115,38%;105,13%;115,38%;79,49%;115,38%;112,82%;82,05%;115,38%;94,87%;112,82%;76,92%;89,74%;79,49%
251365 - Joca Claudino;83,33%;100,00%;111,11%;88,89%;94,44%;116,67%;100,00%;83,33%;88,89%;94,44%;100,00%;88,89%;94,44%;100,00%;100,00%;83,33%;94,44%;116,67%;77,78%
251450 - São José de Piranhas;95,11%;90,22%;100,54%;101,09%;78,26%;100,54%;90,22%;94,02%;97,28%;95,65%;90,22%;98,37%;97,28%;90,22%;99,46%;98,37%;97,28%;98,37%;52,72%
251680 - Triunfo;92,75%;120,29%;101,45%;88,41%;97,10%;100,00%;120,29%;92,75%;120,29%;108,70%;120,29%;114,49%;110,14%;120,29%;107,25%;113,04%;105,80%;92,75%;44,93%
251690 - Uiraúna;94,78%;113,04%;104,35%;142,61%;107,83%;109,57%;113,04%;99,13%;109,57%;120,00%;113,04%;115,65%;117,39%;113,04%;117,39%;114,78%;121,74%;102,61%;40,87%
Totais;94,68%;85,76%;89,02%;81,99%;75,30%;89,37%;86,45%;93,91%;85,08%;94,34%;85,76%;88,34%;93,65%;86,11%;91,17%;87,22%;91,08%;70,67%;37,65%
250077 - Aparecida;102,90%;117,39%;120,29%;98,55%;100,00%;134,78%;117,39%;105,80%;130,43%;124,64%;117,39%;130,43%;126,09%;118,84%;121,74%;128,99%;118,84%;101,45%;52,17%
250840 - Lastro;96,97%;136,36%;115,15%;78,79%;151,52%;118,18%;136,36%;90,91%;130,30%;127,27%;136,36%;133,33%;136,36%;136,36%;115,15%;130,30%;136,36%;121,21%;63,64%
250915 - Marizópolis;107,55%;96,23%;135,85%;122,64%;94,34%;130,19%;98,11%;100,00%;105,66%;135,85%;96,23%;105,66%;133,96%;98,11%;139,62%;105,66%;130,19%;111,32%;49,06%
251000 - Nazarezinho;92,68%;78,05%;75,61%;76,83%;80,49%;75,61%;79,27%;91,46%;80,49%;85,37%;78,05%;93,90%;85,37%;79,27%;70,73%;91,46%;87,80%;67,07%;30,49%
251320 - Santa Cruz;98,31%;86,44%;89,83%;69,49%;76,27%;86,44%;84,75%;96,61%;79,66%;91,53%;86,44%;81,36%;91,53%;86,44%;96,61%;84,75%;84,75%;81,36%;28,81%
251398 - São Francisco;108,33%;97,22%;86,11%;91,67%;91,67%;80,56%;97,22%;108,33%;102,78%;94,44%;97,22%;80,56%;94,44%;100,00%;80,56%;83,33%;91,67%;94,44%;47,22%
251420 - São José da Lagoa Tapada;100,00%;100,00%;96,61%;98,31%;96,61%;103,39%;101,69%;98,31%;111,86%;101,69%;100,00%;120,34%;101,69%;98,31%;100,00%;113,56%;98,31%;84,75%;57,63%
251620 - Sousa;91,35%;78,11%;81,08%;77,43%;63,65%;80,68%;78,92%;90,81%;73,92%;87,43%;78,11%;78,11%;85,68%;78,24%;84,32%;77,03%;82,84%;57,43%;32,30%
251720 - Vieirópolis;102,86%;102,86%;120,00%;82,86%;105,71%;117,14%;102,86%;108,57%;114,29%;100,00%;102,86%;105,71%;105,71%;102,86%;114,29%;105,71%;114,29%;122,86%;68,57%
Totais;103,70%;101,91%;102,42%;101,02%;93,62%;100,77%;102,04%;103,95%;101,15%;103,06%;101,53%;99,62%;102,93%;100,26%;95,41%;98,60%;104,59%;97,96%;55,23%
250010 - Água Branca;112,71%;109,32%;92,37%;92,37%;100,00%;91,53%;109,32%;113,56%;107,63%;105,93%;109,32%;105,93%;105,93%;108,47%;82,20%;105,93%;109,32%;91,53%;44,07%
250670 - Imaculada;108,82%;100,98%;83,33%;93,14%;87,25%;78,43%;100,00%;107,84%;101,96%;90,20%;99,02%;100,00%;90,20%;100,98%;72,55%;99,02%;87,25%;70,59%;46,08%
250800 - Juru;85,39%;94,38%;108,99%;89,89%;66,29%;107,87%;94,38%;82,02%;89,89%;100,00%;94,38%;83,15%;98,88%;92,13%;100,00%;82,02%;103,37%;104,49%;80,90%
250900 - Manaíra;127,55%;108,16%;130,61%;106,12%;98,98%;123,47%;108,16%;125,51%;105,10%;114,29%;108,16%;104,08%;114,29%;107,14%;128,57%;103,06%;117,35%;127,55%;55,10%
251230 - Princesa Isabel;96,44%;95,56%;96,00%;111,11%;101,33%;95,56%;96,44%;97,78%;97,33%;100,89%;95,11%;96,89%;102,22%;94,67%;93,33%;96,44%;103,11%;95,11%;49,78%
251455 - São José de Princesa;140,00%;180,00%;226,67%;166,67%;180,00%;233,33%;180,00%;140,00%;186,67%;226,67%;180,00%;166,67%;226,67%;180,00%;200,00%;160,00%;226,67%;220,00%;146,67%
251660 - Tavares;94,89%;98,54%;97,81%;94,16%;84,67%;98,54%;98,54%;97,81%;96,35%;94,16%;98,54%;98,54%;91,97%;93,43%;89,05%;96,35%;94,16%;89,78%;54,01%
Totais;101,10%;95,40%;85,85%;84,74%;82,35%;86,21%;95,40%;101,29%;98,53%;90,99%;95,22%;95,59%;89,71%;94,49%;82,17%;97,06%;89,34%;75,55%;42,46%
250375 - Cajazeirinhas;100,00%;87,18%;92,31%;107,69%;76,92%;94,87%;87,18%;102,56%;105,13%;89,74%;87,18%;97,44%;87,18%;89,74%;84,62%;97,44%;87,18%;94,87%;84,62%
250810 - Lagoa;105,13%;128,21%;87,18%;94,87%;107,69%;84,62%;133,33%;100,00%;138,46%;89,74%;128,21%;135,90%;87,18%;128,21%;71,79%;138,46%;89,74%;84,62%;56,41%
251090 - Paulista;97,17%;88,68%;73,58%;106,60%;70,75%;74,53%;89,62%;96,23%;92,45%;72,64%;88,68%;95,28%;70,75%;88,68%;74,53%;96,23%;79,25%;66,98%;38,68%
251210 - Pombal;99,65%;93,43%;86,51%;69,20%;87,20%;87,20%;92,73%;100,69%;94,81%;96,54%;93,43%;88,93%;95,85%;92,04%;83,04%;91,35%;92,04%;71,28%;33,22%
251392 - São Bentinho;109,30%;113,95%;97,67%;69,77%;67,44%;100,00%;111,63%;109,30%;106,98%;90,70%;111,63%;104,65%;88,37%;111,63%;90,70%;102,33%;86,05%;90,70%;51,16%
251396 - São Domingos;114,29%;78,57%;96,43%;139,29%;71,43%;89,29%;78,57%;114,29%;82,14%;107,14%;78,57%;92,86%;107,14%;75,00%;100,00%;92,86%;107,14%;89,29%;60,71%
;90,91%;92,32%;87,24%;89,03%;76,20%;86,49%;91,95%;88,65%;92,84%;93,56%;92,30%;95,84%;93,54%;92,46%;88,87%;93,10%;92,47%;70,32%;39,98%
Totais;94,10%;95,02%;98,58%;86,43%;86,38%;97,15%;94,51%;91,71%;94,81%;100,51%;95,02%;96,64%;101,37%;95,32%;98,73%;94,56%;102,69%;81,90%;43,57%
250030 - Alagoa Grande;93,31%;89,44%;90,14%;91,55%;77,82%;85,56%;89,08%;91,55%;85,92%;93,31%;89,44%;86,97%;95,42%;90,14%;91,55%;87,32%;92,96%;61,97%;34,86%
250040 - Alagoa Nova;96,30%;101,23%;99,18%;85,60%;86,01%;101,23%;100,41%;94,24%;97,12%;98,35%;101,23%;100,82%;101,65%;100,82%;104,12%;97,94%;104,94%;84,36%;35,80%
250057 - Algodão de Jandaíra;119,35%;129,03%;109,68%;100,00%;106,45%;112,90%;129,03%;112,90%;119,35%;96,77%;129,03%;116,13%;96,77%;129,03%;93,55%;119,35%;100,00%;103,23%;64,52%
250090 - Arara;102,25%;103,37%;107,87%;97,75%;97,75%;110,11%;105,62%;93,26%;115,73%;114,61%;103,37%;112,36%;114,61%;104,49%;108,99%;105,62%;110,11%;88,76%;66,29%
250110 - Areia;88,39%;91,52%;93,30%;78,57%;79,91%;94,20%;91,52%;86,61%;91,96%;92,86%;91,52%;98,66%;96,88%;91,07%;98,21%;98,21%;100,00%;79,02%;39,73%
250120 - Areial;96,34%;78,05%;87,80%;86,59%;57,32%;91,46%;75,61%;93,90%;89,02%;89,02%;78,05%;92,68%;92,68%;78,05%;90,24%;92,68%;87,80%;71,95%;59,76%
250600 - Esperança;95,93%;99,42%;97,38%;70,35%;95,35%;96,51%;99,13%;94,77%;99,42%;99,42%;99,42%;100,58%;100,00%;99,71%;93,02%;99,71%;104,07%;90,70%;32,56%
250830 - Lagoa Seca;92,28%;86,67%;88,42%;96,84%;78,95%;83,51%;86,32%;89,47%;86,67%;91,93%;86,67%;91,58%;90,88%;87,72%;87,72%;86,67%;92,63%;75,09%;33,33%
250933 - Matinhas;88,68%;115,09%;116,98%;96,23%;103,77%;111,32%;115,09%;86,79%;109,43%;122,64%;115,09%;88,68%;120,75%;115,09%;109,43%;88,68%;124,53%;100,00%;64,15%
250950 - Montadas;107,58%;90,91%;86,36%;72,73%;98,48%;95,45%;89,39%;104,55%;93,94%;109,09%;90,91%;101,52%;98,48%;90,91%;98,48%;98,48%;118,18%;75,76%;51,52%
251270 - Remígio;82,84%;91,72%;119,53%;93,49%;88,76%;115,98%;91,12%;79,88%;84,62%;118,34%;91,72%;91,12%;120,12%;92,31%;111,83%;85,80%;112,43%;85,21%;66,27%
251510 - São Sebastião de Lagoa de Roça;98,97%;106,19%;126,80%;94,85%;103,09%;118,56%;103,09%;97,94%;117,53%;122,68%;106,19%;104,12%;119,59%;106,19%;130,93%;103,09%;123,71%;113,40%;69,07%
Totais;92,91%;99,19%;101,82%;101,32%;87,23%;100,20%;99,09%;84,60%;98,58%;103,24%;98,99%;101,22%;103,55%;98,78%;102,13%;100,71%;105,37%;88,96%;46,10%
250153 - Baraúna;102,38%;111,90%;102,38%;78,57%;83,33%;83,33%;111,90%;92,86%;104,76%;104,76%;111,90%;107,14%;104,76%;114,29%;121,43%;97,62%;114,29%;76,19%;50,00%
250160 - Barra de Santa Rosa;94,39%;92,52%;79,44%;117,76%;97,20%;81,31%;91,59%;87,85%;100,93%;94,39%;92,52%;95,33%;96,26%;91,59%;85,05%;96,26%;99,07%;75,70%;33,64%
250500 - Cubati;89,87%;93,67%;103,80%;103,80%;100,00%;102,53%;94,94%;91,14%;91,14%;94,94%;93,67%;94,94%;94,94%;91,14%;93,67%;93,67%;97,47%;98,73%;41,77%
250510 - Cuité;95,45%;94,32%;102,27%;94,89%;75,57%;103,41%;94,32%;70,45%;94,89%;102,27%;93,75%;98,30%;103,41%;93,75%;100,00%;97,16%;105,11%;85,80%;42,61%
250535 - Damião;82,98%;100,00%;138,30%;93,62%;104,26%;140,43%;100,00%;80,85%;89,36%;114,89%;100,00%;93,62%;119,15%;100,00%;127,66%;93,62%;112,77%;127,66%;70,21%
250620 - Frei Martinho;105,00%;100,00%;125,00%;90,00%;100,00%;125,00%;100,00%;105,00%;85,00%;105,00%;100,00%;90,00%;105,00%;100,00%;115,00%;90,00%;115,00%;115,00%;80,00%
251010 - Nova Floresta;86,52%;93,26%;103,37%;100,00%;77,53%;97,75%;93,26%;67,42%;88,76%;100,00%;93,26%;97,75%;104,49%;92,13%;107,87%;94,38%;95,51%;52,81%;41,57%
251030 - Nova Palmeira;108,57%;91,43%;102,86%;111,43%;91,43%;102,86%;91,43%;108,57%;105,71%;111,43%;91,43%;108,57%;111,43%;91,43%;97,14%;108,57%;114,29%;100,00%;40,00%
251110 - Pedra Lavrada;94,12%;105,88%;101,96%;121,57%;109,80%;101,96%;103,92%;90,20%;103,92%;98,04%;105,88%;111,76%;98,04%;105,88%;111,76%;111,76%;96,08%;90,20%;62,75%
251140 - Picuí;98,91%;98,36%;91,26%;103,83%;69,40%;91,80%;98,91%;96,72%;104,92%;92,35%;98,36%;104,37%;88,52%;98,91%;90,16%;108,20%;95,63%;86,89%;40,44%
251540 - São Vicente do Seridó;84,43%;107,38%;110,66%;86,89%;96,72%;108,20%;106,56%;78,69%;100,00%;120,49%;106,56%;105,74%;120,49%;106,56%;110,66%;103,28%;122,13%;104,10%;54,10%
251615 - Sossêgo;75,00%;127,78%;119,44%;122,22%;108,33%;105,56%;127,78%;83,33%;111,11%;138,89%;127,78%;111,11%;138,89%;127,78%;127,78%;111,11%;138,89%;108,33%;50,00%
Totais;109,26%;115,40%;106,76%;118,21%;103,95%;106,14%;114,98%;106,24%;120,19%;115,61%;115,40%;123,00%;115,61%;115,92%;107,28%;119,67%;116,65%;93,55%;48,60%
250073 - Amparo;157,14%;185,71%;171,43%;128,57%;171,43%;164,29%;185,71%;150,00%;185,71%;142,86%;185,71%;200,00%;150,00%;192,86%;171,43%;200,00%;157,14%;135,71%;128,57%
250390 - Camalaú;78,38%;159,46%;154,05%;167,57%;181,08%;145,95%;159,46%;72,97%;170,27%;181,08%;159,46%;183,78%;172,97%;154,05%;162,16%;181,08%;186,49%;137,84%;67,57%
250407 - Caraúbas;69,64%;71,43%;67,86%;89,29%;73,21%;67,86%;71,43%;71,43%;83,93%;71,43%;71,43%;83,93%;71,43%;73,21%;69,64%;82,14%;71,43%;69,64%;37,50%
250470 - Congo;145,45%;136,36%;113,64%;177,27%;134,09%;106,82%;136,36%;147,73%;143,18%;147,73%;136,36%;145,45%;147,73%;136,36%;113,64%;143,18%;143,18%;95,45%;77,27%
250485 - Coxixola;85,71%;114,29%;121,43%;121,43%;114,29%;121,43%;107,14%;92,86%;128,57%;128,57%;114,29%;100,00%;128,57%;107,14%;92,86%;100,00%;135,71%;107,14%;107,14%
250650 - Gurjão;109,09%;95,45%;168,18%;118,18%;113,64%;154,55%;90,91%;109,09%;81,82%;168,18%;95,45%;86,36%;163,64%;104,55%;168,18%;81,82%;159,09%;131,82%;118,18%
250970 - Monteiro;100,57%;100,57%;94,27%;101,15%;85,10%;94,27%;100,00%;96,56%;104,01%;104,01%;100,57%;109,17%;104,01%;99,71%;93,98%;103,72%;102,58%;79,37%;23,78%
251060 - Ouro Velho;76,92%;103,85%;96,15%;111,54%;69,23%;88,46%;103,85%;80,77%;103,85%;96,15%;103,85%;107,69%;96,15%;103,85%;80,77%;103,85%;103,85%;88,46%;61,54%
251065 - Parari;130,00%;120,00%;70,00%;70,00%;100,00%;70,00%;120,00%;130,00%;130,00%;90,00%;120,00%;140,00%;90,00%;120,00%;80,00%;140,00%;100,00%;80,00%;70,00%
251220 - Prata;100,00%;86,84%;78,95%;142,11%;92,11%;89,47%;84,21%;100,00%;97,37%;110,53%;86,84%;94,74%;110,53%;97,37%;100,00%;92,11%;102,63%;78,95%;65,79%
251400 - São João do Cariri;83,33%;133,33%;140,00%;106,67%;123,33%;156,67%;133,33%;76,67%;130,00%;126,67%;133,33%;156,67%;130,00%;133,33%;136,67%;150,00%;133,33%;123,33%;76,67%
251410 - São João do Tigre;128,21%;102,56%;76,92%;125,64%;71,79%;74,36%;102,56%;123,08%;107,69%;87,18%;102,56%;107,69%;84,62%;105,13%;69,23%;107,69%;82,05%;48,72%;41,03%
251480 - São José dos Cordeiros;94,29%;100,00%;88,57%;88,57%;91,43%;85,71%;100,00%;94,29%;97,14%;94,29%;100,00%;88,57%;88,57%;100,00%;74,29%;88,57%;88,57%;85,71%;65,71%
251520 - São Sebastião do Umbuzeiro;113,89%;147,22%;83,33%;80,56%;113,89%;102,78%;147,22%;88,89%;150,00%;105,56%;147,22%;141,67%;105,56%;150,00%;105,56%;141,67%;111,11%;97,22%;50,00%
251550 - Serra Branca;94,92%;109,32%;93,22%;90,68%;88,14%;94,07%;110,17%;91,53%;111,02%;90,68%;109,32%;111,86%;94,92%;108,47%;98,31%;109,32%;95,76%;89,83%;32,20%
251630 - Sumé;214,67%;189,33%;182,67%;228,00%;176,00%;170,67%;189,33%;213,33%;209,33%;190,67%;189,33%;209,33%;190,67%;192,00%;180,00%;206,67%;198,67%;144,00%;62,67%
251740 - Zabelê;88,89%;138,89%;177,78%;127,78%;183,33%;177,78%;138,89%;100,00%;127,78%;177,78%;138,89%;127,78%;177,78%;138,89%;166,67%;127,78%;188,89%;172,22%;177,78%
Totais;99,53%;92,72%;91,36%;90,70%;79,16%;90,41%;92,90%;98,16%;95,20%;98,46%;92,78%;95,86%;98,82%;92,30%;92,78%;93,37%;95,32%;77,98%;46,00%
250053 - Alcantil;96,47%;70,59%;75,29%;87,06%;69,41%;72,94%;70,59%;92,94%;74,12%;84,71%;70,59%;76,47%;83,53%;72,94%;75,29%;74,12%;85,88%;69,41%;68,24%
250130 - Aroeiras;96,14%;101,93%;112,56%;86,96%;91,30%;110,14%;100,48%;92,27%;102,90%;111,11%;101,45%;104,35%;112,08%;100,00%;105,31%;100,97%;104,35%;97,58%;37,20%
250157 - Barra de Santana;102,53%;84,81%;89,87%;113,92%;78,48%;87,34%;86,08%;98,73%;84,81%;97,47%;84,81%;88,61%;96,20%;83,54%;89,87%;87,34%;98,73%;82,28%;44,30%
250170 - Barra de São Miguel;111,43%;84,29%;90,00%;117,14%;68,57%;91,43%;85,71%;115,71%;92,86%;104,29%;84,29%;110,00%;104,29%;85,71%;82,86%;105,71%;100,00%;82,86%;50,00%
250250 - Boqueirão;88,78%;92,35%;75,51%;75,51%;73,98%;74,49%;92,35%;88,27%;92,35%;86,73%;92,35%;96,43%;89,80%;91,84%;78,57%;93,88%;77,55%;56,63%;34,69%
250310 - Cabaceiras;102,38%;114,29%;111,90%;80,95%;111,90%;109,52%;114,29%;97,62%;130,95%;126,19%;114,29%;128,57%;126,19%;107,14%;126,19%;128,57%;126,19%;107,14%;100,00%
250435 - Caturité;113,85%;81,54%;73,85%;84,62%;81,54%;73,85%;81,54%;113,85%;86,15%;96,92%;81,54%;81,54%;95,38%;84,62%;73,85%;81,54%;90,77%;64,62%;29,23%
250625 - Gado Bravo;97,98%;93,94%;80,81%;87,88%;78,79%;80,81%;92,93%;97,98%;85,86%;98,99%;92,93%;84,85%;96,97%;88,89%;83,84%;85,86%;90,91%;62,63%;56,57%
