Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
261380 - São Vicente Férrer;92,31%;102,26%;99,55%;85,07%;82,81%;102,71%;102,26%;104,98%;113,12%;109,50%;102,26%;104,52%;104,98%;101,36%;100,45%;101,36%;109,05%;115,38%;128,96%
261530 - Timbaúba;86,32%;89,40%;86,84%;90,60%;76,07%;86,84%;89,40%;98,12%;93,85%;92,99%;89,40%;89,57%;86,15%;89,40%;82,39%;89,06%;84,79%;91,97%;81,54%
Totais;95,30%;93,99%;96,28%;80,37%;83,93%;101,11%;93,81%;101,26%;95,51%;101,64%;93,81%;96,01%;95,66%;94,46%;93,98%;93,99%;99,82%;88,63%;85,96%
260220 - Bom Jardim;96,80%;95,81%;101,23%;89,66%;91,63%;105,42%;95,81%;102,22%;95,81%;106,40%;95,81%;97,29%;101,97%;95,57%;95,57%;97,04%;106,65%;98,03%;98,77%
260270 - Buenos Aires;105,22%;100,00%;111,19%;62,69%;94,03%;120,90%;100,00%;120,15%;102,24%;111,94%;100,00%;106,72%;106,72%;100,00%;108,96%;99,25%;112,69%;102,99%;81,34%
260400 - Carpina;92,01%;85,68%;85,79%;74,81%;70,37%;96,23%;85,46%;99,11%;93,56%;95,45%;85,46%;90,46%;89,57%;86,02%;87,13%;88,57%;91,68%;78,58%;67,70%
260415 - Casinhas;107,06%;93,53%;97,65%;92,35%;102,94%;115,29%;93,53%;114,71%;92,35%;108,82%;93,53%;97,65%;92,35%;95,29%;94,71%;95,88%;92,94%;154,12%;158,82%
260490 - Cumaru;89,54%;109,80%;84,31%;100,65%;89,54%;93,46%;108,50%;84,97%;103,92%;93,46%;108,50%;100,00%;85,62%;107,19%;83,66%;98,04%;94,77%;61,44%;86,93%
260540 - Feira Nova;99,65%;100,00%;90,11%;81,63%;87,63%;93,64%;100,00%;109,19%;94,70%;102,83%;100,00%;98,23%;98,59%;100,71%;87,63%;95,41%;100,71%;80,92%;69,96%
260810 - João Alfredo;110,65%;92,26%;91,29%;100,32%;80,97%;100,00%;92,26%;107,74%;95,81%;104,19%;92,26%;101,94%;98,39%;93,23%;88,71%;101,61%;105,48%;88,39%;110,65%
260845 - Lagoa do Carro;104,74%;95,26%;97,16%;60,66%;101,90%;116,59%;94,79%;116,59%;99,05%;116,59%;95,26%;92,42%;94,31%;99,53%;98,10%;91,00%;97,16%;90,52%;81,99%
260850 - Lagoa de Itaenga;93,54%;94,22%;90,14%;84,69%;74,15%;94,56%;94,22%;98,98%;93,88%;101,02%;94,22%;98,30%;99,66%;94,90%;86,39%;98,64%;98,64%;79,59%;62,59%
260890 - Limoeiro;108,13%;96,25%;101,09%;82,81%;91,72%;99,69%;95,94%;115,31%;97,34%;101,09%;95,94%;98,44%;98,59%;96,09%;99,38%;97,34%;100,31%;97,03%;79,69%
260910 - Machados;95,95%;106,76%;135,14%;98,65%;110,14%;133,78%;106,76%;104,73%;106,76%;132,43%;106,76%;106,76%;121,62%;110,14%;133,78%;106,08%;124,32%;139,19%;112,84%
260950 - Nazaré da Mata;91,75%;100,33%;123,43%;79,54%;71,95%;120,46%;99,01%;105,61%;100,66%;108,58%;99,01%;101,65%;93,40%;98,68%;103,30%;94,72%;113,86%;139,60%;142,24%
260970 - Orobó;96,09%;83,98%;98,44%;79,30%;77,34%;103,91%;84,38%;102,34%;92,58%;99,22%;83,98%;95,31%;89,45%;82,03%;96,88%;93,36%;89,45%;105,86%;104,69%
261050 - Passira;98,49%;96,37%;105,14%;61,33%;102,72%;110,57%;96,37%;102,11%;100,60%;107,55%;96,37%;98,79%;99,40%;96,98%;103,02%;98,49%;100,00%;95,17%;112,99%
261060 - Paudalho;84,50%;91,62%;95,67%;79,05%;84,78%;99,44%;91,62%;88,69%;91,48%;102,51%;91,62%;93,16%;101,12%;92,74%;95,53%;87,99%;107,26%;78,35%;70,67%
261210 - Salgadinho;101,75%;112,28%;107,02%;84,21%;92,98%;110,53%;108,77%;105,26%;110,53%;98,25%;108,77%;103,51%;94,74%;114,04%;107,02%;105,26%;96,49%;105,26%;180,70%
261450 - Surubim;88,33%;92,71%;93,37%;79,05%;83,02%;93,90%;92,71%;89,92%;92,97%;98,01%;92,71%;93,24%;92,18%;93,24%;90,45%;91,78%;98,94%;72,55%;67,11%
261550 - Tracunhaém;94,30%;113,92%;89,87%;57,59%;57,59%;92,41%;113,92%;104,43%;113,92%;90,51%;113,92%;108,23%;93,67%;116,46%;87,97%;108,86%;94,94%;58,86%;91,77%
261618 - Vertente do Lério;110,75%;95,70%;94,62%;98,92%;102,15%;100,00%;95,70%;107,53%;94,62%;98,92%;95,70%;97,85%;93,55%;96,77%;94,62%;95,70%;100,00%;60,22%;72,04%
261630 - Vicência;81,52%;85,04%;80,35%;83,28%;68,91%;82,99%;85,04%;93,26%;82,70%;86,51%;85,04%;83,58%;82,70%;85,04%;80,94%;81,82%;83,28%;64,81%;66,28%
Totais;82,58%;94,93%;70,95%;77,60%;67,56%;78,44%;94,77%;82,76%;87,77%;83,95%;94,81%;89,39%;80,37%;94,07%;70,14%;87,41%;86,91%;51,21%;70,46%
260040 - Água Preta;71,26%;85,06%;66,38%;88,22%;64,08%;72,70%;85,06%;72,13%;82,76%;84,48%;85,06%;90,52%;73,85%;85,34%;64,94%;85,92%;87,07%;36,49%;66,09%
260090 - Amaraji;91,98%;90,46%;86,64%;84,73%;74,43%;94,27%;90,46%;91,22%;96,56%;97,71%;90,46%;89,31%;88,93%;90,46%;83,21%;88,17%;89,31%;61,45%;107,25%
260140 - Barreiros;91,49%;90,07%;90,25%;71,81%;65,78%;92,91%;90,07%;89,54%;89,54%;97,52%;90,07%;95,21%;94,68%;91,67%;85,99%;90,78%;92,20%;34,40%;73,05%
260150 - Belém de Maria;104,17%;98,96%;110,42%;111,46%;87,50%;116,67%;98,96%;103,13%;100,00%;122,92%;98,96%;102,08%;117,71%;98,96%;108,33%;101,04%;123,96%;62,50%;135,42%
260420 - Catende;87,17%;80,16%;45,29%;68,34%;56,51%;56,11%;79,76%;88,18%;80,36%;57,72%;79,76%;85,57%;54,71%;80,36%;45,49%;85,37%;69,34%;33,47%;51,70%
260480 - Cortês;40,41%;63,70%;22,60%;89,73%;36,99%;64,38%;63,70%;43,84%;76,71%;69,86%;63,70%;84,93%;65,07%;76,71%;26,71%;81,51%;69,18%;48,63%;57,53%
260520 - Escada;45,15%;120,15%;65,61%;72,88%;72,27%;85,45%;120,00%;44,39%;86,52%;80,61%;120,15%;90,76%;85,76%;100,76%;77,73%;86,97%;82,27%;67,27%;59,24%
260590 - Gameleira;108,26%;95,04%;86,78%;90,91%;80,99%;105,37%;95,04%;98,76%;90,50%;98,76%;95,04%;90,91%;91,32%;95,87%;85,95%;89,67%;109,92%;67,77%;91,32%
260795 - Jaqueira;114,19%;106,08%;101,35%;91,89%;110,81%;104,05%;106,08%;113,51%;103,38%;114,86%;106,08%;102,03%;113,51%;107,43%;100,00%;101,35%;145,27%;70,95%;120,95%
260820 - Joaquim Nabuco;81,36%;97,74%;78,53%;79,10%;72,88%;83,62%;97,74%;85,31%;83,05%;79,66%;97,74%;88,70%;86,44%;97,18%;74,01%;84,18%;100,56%;22,03%;50,28%
260870 - Lagoa dos Gatos;86,42%;90,74%;83,33%;80,86%;69,75%;98,77%;89,51%;85,80%;87,04%;98,15%;89,51%;84,57%;83,33%;90,12%;80,86%;83,95%;104,94%;96,30%;137,04%
260920 - Maraial;86,08%;70,89%;68,99%;100,63%;70,89%;79,75%;69,62%;88,61%;86,08%;89,24%;69,62%;77,22%;76,58%;71,52%;71,52%;74,68%;78,48%;73,42%;60,13%
261000 - Palmares;85,27%;81,49%;70,27%;66,36%;60,10%;73,53%;81,62%;89,70%;76,79%;79,27%;81,49%;76,14%;76,14%;81,88%;65,97%;74,97%;82,01%;38,59%;56,58%
261140 - Primavera;115,60%;110,64%;97,16%;80,85%;89,36%;99,29%;110,64%;113,48%;118,44%;111,35%;110,64%;117,02%;106,38%;109,22%;99,29%;111,35%;107,80%;62,41%;85,11%
261150 - Quipapá;102,73%;88,18%;92,27%;87,27%;77,73%;94,55%;88,18%;104,55%;86,82%;85,45%;88,18%;87,73%;85,45%;88,18%;90,00%;85,91%;88,18%;51,36%;77,73%
261180 - Ribeirão;46,84%;143,80%;28,35%;87,34%;69,11%;12,15%;143,54%;44,81%;85,32%;49,87%;143,80%;87,85%;52,41%;147,34%;29,11%;92,66%;81,77%;68,10%;52,91%
261190 - Rio Formoso;81,27%;95,99%;55,85%;72,24%;65,89%;75,59%;95,99%;80,94%;95,32%;62,21%;95,99%;99,67%;73,24%;93,65%;50,50%;94,31%;77,59%;52,51%;61,87%
261290 - São Benedito do Sul;115,32%;115,32%;108,87%;107,26%;108,87%;114,52%;115,32%;114,52%;118,55%;133,87%;115,32%;108,06%;116,94%;114,52%;109,68%;102,42%;130,65%;92,74%;95,97%
261340 - São José da Coroa Grande;92,62%;82,38%;94,67%;64,75%;59,02%;85,66%;82,38%;93,03%;79,92%;86,48%;82,38%;78,69%;85,25%;82,38%;86,07%;80,74%;81,56%;42,62%;69,67%
261420 - Sirinhaém;98,77%;100,62%;74,33%;74,13%;66,32%;80,90%;100,41%;97,33%;98,97%;92,40%;100,62%;98,15%;86,65%;101,23%;71,66%;96,92%;85,01%;51,95%;86,04%
261485 - Tamandaré;67,95%;73,85%;61,54%;69,49%;46,92%;60,77%;73,59%;72,31%;76,67%;75,38%;73,85%;76,67%;67,95%;79,74%;61,28%;73,85%;68,21%;37,44%;45,64%
261650 - Xexéu;111,50%;97,50%;70,00%;71,50%;66,50%;96,50%;96,50%;109,50%;96,00%;101,00%;96,50%;102,00%;75,50%;99,50%;66,50%;100,50%;79,00%;50,50%;72,00%
Totais;71,63%;72,13%;57,30%;60,22%;51,17%;65,80%;72,02%;72,54%;72,35%;69,90%;72,00%;76,71%;65,86%;72,94%;56,27%;72,74%;74,22%;37,78%;47,86%
260005 - Abreu e Lima;64,72%;89,93%;26,85%;27,33%;33,27%;38,26%;89,84%;65,68%;52,25%;41,90%;89,93%;63,18%;33,65%;89,07%;25,98%;61,94%;41,80%;19,94%;23,49%
260105 - Araçoiaba;102,19%;95,99%;85,40%;72,99%;85,40%;91,24%;95,62%;113,87%;97,08%;94,53%;95,99%;101,09%;92,34%;97,45%;75,55%;98,54%;94,89%;74,09%;66,42%
260290 - Cabo de Santo Agostinho;36,60%;75,66%;39,86%;53,14%;50,88%;61,71%;75,70%;37,37%;70,11%;63,64%;75,66%;73,21%;56,40%;78,04%;52,09%;69,23%;69,11%;33,39%;38,42%
260345 - Camaragibe;86,91%;75,09%;55,33%;55,21%;48,61%;61,18%;75,09%;88,99%;77,00%;69,00%;75,09%;76,54%;60,66%;76,83%;55,97%;74,62%;73,58%;40,32%;60,25%
260440 - Chã de Alegria;46,41%;104,42%;35,91%;85,64%;75,14%;91,16%;104,42%;58,56%;96,13%;83,98%;104,42%;108,29%;61,33%;102,21%;37,02%;102,76%;111,05%;43,65%;64,64%
260450 - Chã Grande;88,52%;101,48%;74,07%;54,07%;72,22%;90,37%;101,48%;79,63%;100,74%;94,81%;101,48%;97,41%;91,11%;100,74%;76,30%;91,85%;87,41%;40,37%;82,59%
260545 - Fernando de Noronha;130,00%;96,67%;53,33%;50,00%;86,67%;130,00%;96,67%;126,67%;93,33%;126,67%;96,67%;70,00%;73,33%;93,33%;70,00%;73,33%;76,67%;26,67%;63,33%
260610 - Glória do Goitá;36,34%;86,63%;72,38%;87,79%;59,88%;72,38%;86,92%;34,01%;85,76%;88,95%;86,63%;84,01%;85,76%;85,47%;51,45%;80,81%;87,21%;61,34%;47,67%
260680 - Igarassu;72,27%;76,91%;53,42%;54,03%;48,43%;61,61%;76,84%;71,31%;74,66%;70,77%;76,78%;81,56%;64,96%;76,71%;53,62%;79,10%;71,17%;36,41%;55,81%
260720 - Ipojuca;89,35%;80,51%;62,32%;54,77%;66,12%;65,48%;80,22%;88,59%;74,66%;69,10%;80,28%;86,72%;72,67%;80,92%;57,28%;81,39%;72,26%;32,12%;41,02%
260760 - Ilha de Itamaracá;70,04%;68,42%;51,01%;48,99%;45,34%;57,89%;68,42%;69,23%;65,99%;60,32%;68,42%;72,87%;57,09%;68,02%;44,94%;74,49%;62,75%;29,15%;57,49%
260775 - Itapissuma;85,08%;79,83%;32,04%;51,38%;47,51%;52,21%;80,11%;83,98%;79,56%;64,64%;79,83%;83,15%;43,65%;78,18%;29,01%;85,08%;62,98%;38,95%;33,43%
260790 - Jaboatão dos Guararapes;64,35%;62,15%;47,59%;52,96%;41,67%;55,70%;61,66%;65,44%;64,28%;59,10%;61,66%;68,94%;55,80%;63,22%;46,67%;64,54%;63,32%;32,15%;39,70%
260940 - Moreno;90,84%;87,02%;82,14%;64,27%;68,70%;90,23%;87,02%;89,62%;92,21%;90,38%;87,02%;95,42%;88,70%;87,63%;76,03%;89,92%;90,08%;57,86%;82,44%
260960 - Olinda;76,21%;69,53%;66,25%;62,85%;45,49%;68,44%;69,53%;76,23%;70,78%;71,75%;69,53%;78,33%;72,90%;70,61%;65,45%;73,60%;74,83%;31,89%;45,52%
261070 - Paulista;36,89%;51,90%;32,03%;35,48%;38,15%;42,24%;52,01%;38,10%;53,25%;47,30%;51,84%;58,60%;44,74%;52,10%;30,99%;54,14%;53,08%;29,82%;28,98%
261130 - Pombos;53,57%;81,17%;73,70%;57,14%;58,12%;85,71%;81,17%;52,27%;79,22%;90,91%;81,17%;86,36%;88,64%;82,47%;63,31%;80,52%;100,00%;24,68%;64,61%
261160 - Recife;82,97%;73,21%;65,18%;72,56%;55,71%;73,81%;73,13%;85,07%;76,22%;76,83%;73,13%;79,32%;72,08%;74,21%;64,29%;75,24%;82,86%;41,66%;52,81%
261370 - São Lourenço da Mata;106,46%;91,27%;68,99%;50,39%;62,38%;69,34%;91,27%;104,33%;94,61%;85,38%;91,27%;95,24%;77,93%;91,91%;55,22%;91,41%;82,04%;46,34%;52,45%
261640 - Vitória de Santo Antão;38,09%;83,94%;73,67%;62,03%;61,85%;80,24%;83,88%;33,67%;78,27%;83,10%;83,82%;81,73%;80,00%;83,04%;71,82%;78,87%;86,99%;54,45%;67,52%
;91,93%;92,07%;83,12%;78,07%;76,12%;86,44%;92,03%;90,86%;95,39%;96,81%;92,04%;94,90%;89,41%;92,94%;81,77%;91,75%;91,92%;69,97%;76,16%
Totais;90,08%;88,42%;80,56%;74,71%;75,08%;83,66%;88,38%;89,01%;91,23%;94,95%;88,39%;92,14%;87,56%;89,26%;78,61%;88,81%;89,82%;68,31%;77,83%
260030 - Agrestina;97,35%;90,98%;80,37%;66,58%;94,16%;98,41%;90,98%;97,35%;95,49%;107,69%;90,98%;93,63%;83,82%;89,92%;78,78%;94,16%;88,06%;72,94%;88,59%
260060 - Alagoinha;89,32%;101,46%;81,55%;77,67%;53,40%;67,96%;101,46%;94,66%;106,80%;101,46%;101,46%;101,46%;97,57%;102,43%;86,41%;98,06%;93,69%;62,62%;59,22%
260080 - Altinho;93,44%;93,03%;88,93%;72,54%;77,87%;95,90%;93,03%;91,80%;97,54%;95,08%;93,03%;92,62%;82,79%;91,80%;87,70%;89,75%;81,97%;74,18%;108,20%
260130 - Barra de Guabiraba;109,77%;103,76%;124,06%;110,53%;96,99%;119,55%;103,76%;106,02%;98,50%;106,77%;103,76%;101,50%;106,02%;106,02%;120,30%;99,25%;106,77%;109,02%;98,50%
260170 - Belo Jardim;96,81%;92,46%;81,73%;78,88%;73,34%;82,31%;92,46%;94,47%;89,10%;90,44%;92,46%;95,14%;88,85%;94,22%;79,13%;94,30%;88,35%;97,23%;97,57%
260190 - Bezerros;91,85%;75,82%;57,47%;78,26%;51,63%;68,48%;75,68%;90,22%;87,09%;82,07%;75,82%;81,93%;76,36%;75,14%;61,01%;80,43%;85,73%;56,25%;73,78%
260230 - Bonito;85,11%;91,36%;77,76%;69,12%;78,86%;83,64%;91,36%;83,64%;87,32%;96,88%;91,36%;92,46%;86,95%;92,83%;77,39%;89,71%;90,26%;62,13%;86,03%
260260 - Brejo da Madre de Deus;69,74%;84,47%;64,08%;70,92%;63,68%;55,00%;84,47%;64,87%;76,97%;74,61%;84,47%;85,26%;70,66%;83,16%;66,58%;79,21%;76,97%;54,08%;63,82%
260310 - Cachoeirinha;81,88%;95,97%;103,02%;95,97%;83,56%;77,18%;95,97%;79,87%;106,38%;104,03%;95,97%;101,68%;94,30%;96,98%;86,91%;94,30%;100,00%;87,92%;75,50%
260350 - Camocim de São Félix;95,41%;99,54%;91,28%;92,66%;95,87%;103,21%;99,54%;96,79%;100,00%;110,55%;99,54%;95,87%;98,17%;100,00%;88,99%;95,41%;100,00%;87,16%;80,28%
260410 - Caruaru;99,01%;87,75%;83,31%;64,88%;76,11%;89,57%;87,67%;97,81%;91,02%;93,33%;87,67%;93,27%;87,86%;88,70%;80,29%;89,68%;89,64%;55,31%;63,15%
260500 - Cupira;78,64%;93,81%;85,14%;78,33%;75,23%;92,26%;93,81%;80,80%;94,43%;88,54%;93,81%;92,88%;88,54%;94,43%;86,07%;91,64%;91,02%;95,05%;111,46%
260580 - Frei Miguelinho;101,32%;121,19%;101,99%;72,85%;101,99%;98,68%;121,19%;100,00%;126,49%;133,11%;121,19%;116,56%;119,87%;121,85%;100,00%;121,19%;115,89%;84,77%;94,04%
260640 - Gravatá;59,40%;68,41%;50,68%;64,63%;52,62%;60,95%;68,51%;61,05%;70,45%;63,66%;68,41%;71,80%;62,31%;67,44%;49,61%;68,60%;66,57%;37,79%;42,44%
260670 - Ibirajuba;92,08%;100,00%;98,02%;102,97%;85,15%;94,06%;100,00%;92,08%;118,81%;98,02%;100,00%;93,07%;94,06%;100,99%;90,10%;94,06%;93,07%;93,07%;97,03%
260800 - Jataúba;42,16%;83,33%;76,47%;91,67%;65,69%;78,92%;83,33%;41,67%;89,22%;88,24%;83,33%;88,24%;87,75%;84,31%;67,65%;84,31%;92,16%;79,41%;85,29%
260840 - Jurema;94,35%;131,07%;126,55%;112,43%;103,39%;136,72%;130,51%;91,53%;135,59%;134,46%;130,51%;123,16%;136,16%;131,07%;124,86%;119,21%;141,24%;129,94%;154,80%
261020 - Panelas;89,72%;72,90%;85,67%;88,16%;53,58%;86,29%;72,90%;88,47%;76,95%;83,80%;72,90%;79,44%;79,13%;74,14%;75,39%;79,13%;77,57%;86,92%;110,90%
261090 - Pesqueira;73,01%;70,94%;65,25%;61,01%;56,46%;66,49%;70,94%;69,49%;71,46%;73,32%;70,94%;74,66%;73,11%;72,08%;65,36%;69,39%;75,59%;59,77%;59,26%
261120 - Poção;109,92%;109,16%;109,92%;109,92%;135,88%;138,93%;109,16%;114,50%;107,63%;140,46%;109,16%;112,21%;110,69%;108,40%;113,74%;109,92%;117,56%;106,11%;122,14%
261170 - Riacho das Almas;95,77%;96,48%;89,79%;111,27%;81,69%;87,32%;96,48%;94,37%;113,38%;101,06%;96,48%;100,70%;94,01%;99,30%;81,69%;100,00%;91,20%;79,58%;79,93%
261200 - Sairé;104,72%;93,40%;83,02%;70,75%;80,19%;85,85%;93,40%;104,72%;90,57%;102,83%;93,40%;95,28%;94,34%;95,28%;85,85%;93,40%;107,55%;73,58%;94,34%
261240 - Sanharó;71,80%;95,86%;84,96%;96,99%;57,14%;84,96%;95,86%;70,30%;95,49%;86,47%;95,86%;103,01%;84,96%;96,62%;75,56%;98,50%;81,20%;63,91%;74,44%
261250 - Santa Cruz do Capibaribe;97,73%;93,69%;80,19%;69,48%;78,28%;68,97%;93,62%;96,77%;97,80%;98,46%;93,69%;99,71%;93,62%;96,11%;79,82%;95,30%;98,75%;53,34%;63,76%
261270 - Santa Maria do Cambucá;92,05%;102,65%;92,72%;90,07%;79,47%;95,36%;102,65%;91,39%;100,66%;108,61%;102,65%;100,00%;107,28%;102,65%;96,69%;99,34%;100,00%;51,66%;81,46%
261300 - São Bento do Una;101,41%;103,66%;109,44%;93,94%;133,10%;130,85%;103,66%;100,56%;124,08%;168,31%;103,66%;102,82%;104,79%;106,76%;99,58%;104,08%;102,96%;132,96%;115,63%
261310 - São Caitano;95,73%;87,40%;89,02%;99,19%;77,44%;80,08%;87,40%;94,11%;89,63%;88,41%;87,40%;90,85%;88,82%;89,23%;87,60%;88,21%;91,26%;73,98%;133,13%
261330 - São Joaquim do Monte;64,26%;85,22%;81,44%;95,53%;67,70%;85,91%;85,22%;65,64%;86,94%;102,75%;85,22%;88,32%;97,59%;86,25%;80,41%;87,29%;97,25%;70,79%;81,79%
261470 - Tacaimbó;88,46%;89,10%;90,38%;96,79%;72,44%;87,18%;89,10%;88,46%;89,10%;89,10%;89,10%;91,67%;78,21%;89,10%;89,74%;89,74%;77,56%;69,87%;85,90%
261500 - Taquaritinga do Norte;106,19%;100,00%;75,22%;74,93%;77,58%;89,68%;100,00%;104,72%;102,65%;98,82%;100,00%;109,73%;91,15%;96,17%;74,93%;105,01%;97,64%;90,56%;123,89%
261540 - Toritama;75,76%;79,61%;68,54%;61,00%;66,93%;65,17%;79,61%;74,32%;74,32%;103,37%;79,61%;83,31%;97,11%;80,58%;76,73%;70,30%;94,22%;76,24%;91,17%
261620 - Vertentes;105,06%;93,39%;87,16%;83,27%;77,82%;87,16%;93,39%;111,28%;92,61%;100,39%;93,39%;102,33%;97,67%;96,50%;82,49%;94,16%;105,06%;73,54%;73,54%
Totais;96,54%;101,20%;89,52%;86,47%;78,71%;93,38%;101,14%;95,46%;105,76%;101,47%;101,16%;101,79%;94,04%;102,10%;89,65%;99,08%;97,16%;74,09%;71,98%
260050 - Águas Belas;100,14%;100,43%;92,19%;87,99%;90,01%;93,34%;100,43%;102,17%;111,00%;103,04%;100,43%;104,92%;96,67%;103,47%;92,76%;100,87%;100,58%;87,12%;61,65%
260100 - Angelim;102,11%;92,25%;91,55%;93,66%;79,58%;95,07%;92,25%;100,70%;103,52%;103,52%;92,25%;88,03%;91,55%;93,66%;91,55%;88,03%;93,66%;81,69%;79,58%
260210 - Bom Conselho;120,68%;126,23%;93,39%;97,23%;83,37%;110,87%;126,23%;116,63%;138,59%;129,21%;126,23%;124,31%;116,63%;131,13%;104,69%;123,45%;120,26%;64,82%;75,69%
260240 - Brejão;114,94%;141,56%;121,43%;100,00%;125,97%;114,29%;140,91%;112,34%;132,47%;142,21%;140,91%;126,62%;132,47%;137,66%;122,08%;128,57%;139,61%;118,18%;80,52%
260320 - Caetés;98,23%;89,62%;66,33%;75,95%;71,39%;69,37%;89,11%;98,48%;97,97%;81,52%;89,62%;96,20%;75,95%;89,37%;63,54%;95,70%;83,54%;62,03%;61,77%
260330 - Calçado;94,74%;86,84%;96,49%;116,67%;71,93%;96,49%;86,84%;94,74%;95,61%;104,39%;86,84%;92,98%;102,63%;87,72%;100,88%;93,86%;100,00%;84,21%;83,33%
260370 - Canhotinho;71,60%;95,37%;79,01%;71,30%;62,65%;81,79%;95,37%;70,99%;95,68%;87,35%;95,37%;96,30%;85,19%;95,99%;78,70%;90,43%;84,57%;29,32%;75,31%
260380 - Capoeiras;102,80%;87,20%;94,80%;88,40%;82,00%;89,20%;87,20%;104,00%;102,00%;99,60%;87,20%;98,40%;96,40%;89,20%;95,20%;94,40%;98,00%;76,40%;60,00%
260470 - Correntes;56,06%;108,08%;43,94%;81,82%;69,19%;63,64%;108,08%;53,03%;92,42%;67,17%;108,08%;91,41%;61,62%;107,58%;51,01%;90,40%;83,84%;33,33%;53,03%
260600 - Garanhuns;94,54%;96,51%;78,86%;73,60%;68,64%;84,83%;96,56%;91,35%;99,44%;92,46%;96,51%;98,23%;84,77%;97,02%;79,62%;94,89%;90,14%;59,43%;65,86%
260650 - Iati;103,00%;98,50%;93,26%;98,88%;89,89%;96,25%;98,50%;100,75%;103,00%;101,12%;98,50%;102,25%;95,13%;100,37%;91,01%;98,88%;94,38%;76,40%;67,04%
260750 - Itaíba;100,00%;98,45%;100,26%;98,45%;76,03%;91,49%;98,45%;101,55%;97,94%;101,55%;98,45%;93,30%;101,29%;97,94%;97,16%;88,40%;101,29%;92,27%;83,51%
260825 - Jucati;112,41%;124,14%;131,03%;100,69%;113,10%;146,21%;122,76%;115,86%;126,90%;143,45%;122,76%;114,48%;126,21%;124,83%;126,21%;111,03%;122,07%;122,76%;122,76%
260830 - Jupi;91,29%;100,83%;106,22%;95,02%;82,57%;103,73%;100,83%;90,46%;104,15%;102,90%;100,83%;104,98%;98,76%;100,41%;102,90%;103,32%;97,93%;95,02%;79,25%
260860 - Lagoa do Ouro;121,68%;120,98%;114,69%;119,58%;120,28%;126,57%;120,98%;123,78%;118,88%;137,06%;120,98%;122,38%;118,88%;120,28%;116,78%;119,58%;126,57%;124,48%;127,97%
260880 - Lajedo;77,65%;96,08%;97,23%;91,84%;69,98%;97,55%;96,08%;77,49%;106,04%;109,79%;96,08%;97,72%;95,43%;96,90%;94,13%;94,29%;90,05%;79,28%;63,30%
261010 - Palmeirina;117,53%;104,12%;84,54%;93,81%;103,09%;94,85%;104,12%;110,31%;98,97%;92,78%;104,12%;106,19%;87,63%;101,03%;79,38%;109,28%;90,72%;85,57%;111,34%
261030 - Paranatama;99,56%;95,18%;77,19%;81,58%;64,04%;83,77%;95,18%;100,44%;99,56%;87,28%;95,18%;93,86%;83,77%;95,18%;76,75%;89,91%;79,82%;83,77%;88,60%
261230 - Saloá;118,01%;108,70%;132,30%;104,35%;98,14%;134,78%;108,70%;111,18%;121,74%;122,98%;108,70%;108,70%;113,66%;116,15%;131,06%;106,21%;126,71%;109,94%;81,37%
261320 - São João;98,14%;110,53%;105,57%;87,62%;92,88%;103,72%;110,53%;99,69%;108,36%;111,76%;110,53%;109,29%;107,12%;108,98%;101,86%;108,05%;108,98%;78,95%;70,90%
261510 - Terezinha;75,70%;92,52%;84,11%;80,37%;53,27%;89,72%;92,52%;79,44%;91,59%;75,70%;92,52%;85,98%;70,09%;92,52%;81,31%;87,85%;75,70%;85,98%;70,09%
;73,90%;92,70%;90,19%;75,95%;80,69%;91,71%;92,63%;75,02%;91,36%;93,47%;92,60%;93,00%;91,49%;94,16%;88,13%;90,18%;94,34%;70,74%;81,11%
;70,71%;102,54%;99,11%;87,34%;89,60%;98,93%;102,38%;74,13%;99,05%;100,71%;102,40%;100,00%;97,74%;103,95%;99,16%;97,74%;103,21%;83,74%;84,70%
Totais;78,01%;103,36%;100,16%;87,40%;89,98%;98,98%;103,05%;76,60%;97,97%;98,59%;103,21%;96,87%;99,37%;103,91%;99,61%;94,84%;103,13%;89,36%;97,10%
220155 - Bela Vista do Piauí;116,42%;91,04%;77,61%;94,03%;85,07%;76,12%;91,04%;111,94%;101,49%;64,18%;91,04%;104,48%;68,66%;94,03%;74,63%;104,48%;92,54%;95,52%;116,42%
220207 - Cajazeiras do Piauí;106,00%;88,00%;66,00%;74,00%;78,00%;56,00%;88,00%;106,00%;96,00%;56,00%;88,00%;100,00%;68,00%;90,00%;58,00%;98,00%;72,00%;48,00%;74,00%
220210 - Campinas do Piauí;97,62%;128,57%;114,29%;90,48%;92,86%;102,38%;123,81%;90,48%;114,29%;107,14%;123,81%;114,29%;114,29%;138,10%;116,67%;135,71%;109,52%;80,95%;95,24%
220277 - Colônia do Piauí;60,00%;112,50%;92,50%;78,75%;102,50%;95,00%;112,50%;56,25%;96,25%;108,75%;112,50%;97,50%;106,25%;113,75%;93,75%;92,50%;112,50%;71,25%;76,25%
